District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Shimla,279269,68142,6424,167003,95896,17358,1247,86978
Kinnaur,44514,13043,446,30804,0,0,0,0
Gurdaspur,420860,207905,37878,210851,185488,76236,9646,158778
Kapurthala,165433,68490,10092,128046,95770,30647,3927,90120
Jalandhar,330339,154269,20482,251058,377791,143939,18134,361924
Hoshiarpur,422673,173296,27474,240924,128592,44108,6302,114319
Shahid Bhagat Singh Nagar,183168,73451,9892,122357,48383,17418,3145,41174
Fatehgarh Sahib,117559,45966,7524,96987,57337,20240,2581,53840
Ludhiana,395032,178160,28048,345653,641789,262492,31448,621894
Moga,214295,96862,15858,183008,74144,25803,4968,70215
Firozpur,348522,177398,37641,232116,153868,63240,10925,139559
Muktsar,149507,78940,15998,108094,74650,30084,6794,67036
Faridkot,99946,48974,7696,80057,58917,23803,4773,54675
Bathinda,218159,111480,16144,183909,137563,44571,7429,128072
Mansa,145603,67706,10484,91585,50786,17319,2997,43169
Patiala,299279,143654,21249,231343,218090,70225,9160,211330
Amritsar,275477,152064,21488,167491,385476,163828,20816,360035
Tarn Taran,222717,124054,18041,144321,44457,19384,3157,38989
Rupnagar,148162,52746,8890,84305,60537,16709,3027,55513
Sahibzada Ajit Singh Nagar,117293,50671,8563,71197,174042,41248,6614,160815
Sangrur,292156,133516,17822,229635,156788,53936,7370,144245
Barnala,102577,50981,6668,82267,54222,22232,3200,48909
Chandigarh,8911,4180,250,7842,289456,76996,10131,253564
Uttarkashi,112148,30280,3365,44299,9061,1441,73,8291
Chamoli,163434,42984,4086,76814,22906,2658,207,20043
Rudraprayag,112705,22316,2142,57480,4454,433,14,4080
Tehri Garhwal,227059,62669,6358,113757,27177,2881,191,26063
Dehradun,228245,60942,8902,170271,269393,54957,6466,256463
Garhwal,279682,70201,5035,135087,36780,5297,405,34831
Pithoragarh,183687,46657,4225,88170,26256,2600,132,25338
Bageshwar,96031,24104,2785,51377,3880,354,35,3492
Almora,260056,62674,4421,134189,21082,3057,275,19375
Champawat,85202,34337,5113,34422,12839,3608,758,10259
Nainital,193086,61209,9848,134002,105577,20905,3168,100087
Udham Singh Nagar,269406,123658,18051,153293,145253,52873,5811,133633
Hardwar,301828,145783,15997,151518,186183,47105,4097,172406
Panchkula,70895,24956,3474,31194,93656,21260,4402,82043
Ambala,175365,77512,7541,89612,139891,39730,4617,124923
Yamunanagar,214464,101013,13726,98654,143259,48565,5731,131656
Kurukshetra,203553,93635,8753,140656,88268,26128,3090,81560
Kaithal,231091,112080,11093,133340,75696,27932,3104,62601
Karnal,292682,139024,14342,200780,135920,39825,3534,124503
Panipat,173502,82587,7288,115726,153804,59984,4461,145960
Sonipat,283858,142497,13342,159529,133576,47554,4542,123158
Jind,278335,142230,13917,142786,89665,30397,2511,78547
Fatehabad,203020,94202,11573,148002,55360,18712,2713,50323
Sirsa,245476,102364,14484,214792,93316,30795,3826,89491
Hisar,302013,140437,16611,188759,154113,49625,5086,137932
Bhiwani,357047,163885,18924,175668,99235,41282,4367,86136
Rohtak,175203,86376,8235,102319,131739,43870,3557,121332
Jhajjar,211816,95530,10379,123913,78328,32037,3525,71827
Mahendragarh,223726,94189,6936,87254,44216,16449,1239,34135
Rewari,199449,83171,6582,99326,69305,21485,1664,60850
Gurgaon,141703,55690,4535,92958,381988,104665,14898,350283
Mewat,187398,109441,16866,33357,36237,14930,1740,22649
Faridabad,87700,37887,3772,51393,382981,149746,9192,341620
Palwal,186069,95082,11723,59729,63090,22839,2272,52239
North West,67592,31498,3042,43327,959275,329991,31657,824018
North,4512,1142,41,4422,296559,110024,10380,266607
North East,5326,1939,150,5060,482255,171683,9646,458625
East,1086,73,14,1066,461132,111594,8762,430698
New Delhi,0,0,0,0,52664,15168,1949,41026
Central,0,0,0,0,194897,76595,6237,176967
West,1809,874,33,1576,699703,201515,19592,629033
South West,41179,14619,1359,36114,606503,168002,15770,553131
South,2918,1206,135,2644,728145,220628,21117,640768
Ganganagar,397697,167431,9943,323328,164897,53097,5442,154344
Hanumangarh,389059,143174,9338,320196,108694,35000,3370,102064
Bikaner,335754,169892,16452,99048,196179,53557,3336,181662
Churu,344897,135200,20005,162102,148996,45295,3278,130372
Jhunjhunun,500452,122111,12011,228707,150357,38191,2707,124045
Alwar,782294,309007,28163,115780,212967,61335,3408,168883
Bharatpur,0,0,0,0,129697,54473,3113,90140
Dhaulpur,214670,125368,14169,10305,58626,23334,2052,36818
Karauli,305047,190350,17083,25014,59308,24613,1839,37009
Sawai Madhopur,282057,155696,12411,24822,71264,24800,1853,51453
Dausa,361084,170071,19138,33581,59610,15976,835,45900
Jaipur,754841,321563,31704,166066,977838,264995,11735,886900
Sikar,527560,165654,14772,212080,178274,47956,2853,150999
Nagaur,675712,313531,42570,179064,166489,53277,3996,134191
Jodhpur,584215,289187,30380,80038,307442,79321,5227,277006
Jaisalmer,159117,89265,5092,26573,30830,12456,525,20502
Barmer,542825,322439,28770,52655,55980,16235,1400,46352
Jalor,419216,218412,35215,47372,48202,17594,1929,29838
Sirohi,238535,121176,16459,38643,69639,18664,1324,47494
Pali,512909,256968,27698,95914,139808,46417,3496,96608
Ajmer,409335,204259,13918,57717,274919,76703,3025,236981
Tonk,298911,161711,5680,20625,81755,29678,2044,53714
Bundi,239836,135028,8155,19907,63452,21320,1270,40737
Bhilwara,530015,294159,19081,55652,145865,43906,1897,108962
Rajsamand,304622,166324,12795,34423,61054,18866,611,43593
Dungarpur,322816,200469,20015,29377,31547,8077,663,23377
Banswara,390437,267840,35530,26941,39407,9261,907,32511
Chittaurgarh,366780,201363,13205,35211,88873,23818,1600,64433
Kota,203454,94200,5697,25025,311735,91339,5923,239413
Baran,249184,126337,7725,18689,69804,24362,1397,39998
Jhalawar,298624,178279,12841,21501,63763,19129,1340,42658
Udaipur,665449,399935,25288,61887,182769,40210,2194,157547
Pratapgarh,209813,132602,5246,13009,24269,5825,340,17013
Saharanpur,605082,281364,34490,259581,284156,105991,8809,261424
Muzaffarnagar,673746,338221,30993,369887,296104,118442,9476,274193
Bijnor,683875,359719,37614,344673,224648,95925,7189,207575
Moradabad,692398,439673,41544,330967,355518,164250,11377,332765
Rampur,396775,257507,24601,223782,143217,69461,5586,135054
Jyotiba Phule Nagar,335888,203213,19818,135363,115486,58552,4620,106248
Meerut,381520,190379,15643,202588,422303,151607,8869,392320
Baghpat,246055,128687,7874,144681,69991,32546,2170,60543
Ghaziabad,355407,180192,12795,212534,836316,285184,15054,792828
Gautam Buddha Nagar,170835,72264,4101,88322,338935,95241,4407,310126
Bulandshahr,658449,370707,28314,203461,221628,95965,6206,188384
Aligarh,582117,330061,25032,124574,275942,117000,7451,232896
Mahamaya Nagar,288150,158771,12103,47545,84883,39386,2717,61710
Mathura,407488,217192,16300,79868,177802,72010,4090,144376
Agra,496971,262898,21370,82498,406852,155418,7731,333619
Firozabad,349747,201455,23434,39872,185621,96709,7425,152395
Mainpuri,338475,180746,25386,45695,72783,30278,3203,54879
Budaun,710956,464966,57588,149301,156668,81155,9871,121418
Bareilly,631613,397917,48635,282963,362798,169064,14512,334863
Pilibhit,371752,233089,34202,131972,89638,40875,7530,79599
Shahjahanpur,520289,319978,62435,140479,134714,66953,11047,115720
Kheri,754938,483161,83799,138154,107672,49314,9583,82047
Sitapur,827583,512274,100138,98483,111319,47200,9463,80150
Hardoi,786613,490060,65289,136871,121064,56174,7991,89588
Unnao,596317,351828,43532,94219,121039,53500,6173,86785
Lucknow,344155,196857,28565,73994,717566,223164,29421,629306
Rae Bareli,705025,390584,54992,94474,73393,25028,3817,52183
Farrukhabad,316647,188722,27232,75679,94843,43344,4458,77487
Kannauj,299785,174775,26382,65054,65985,28572,3894,49885
Etawah,265643,145307,20721,52598,85483,34621,3591,71293
Auraiya,255836,141222,23026,52191,58438,22558,2338,43946
Kanpur Dehat,363933,206714,30571,83705,41323,16323,2439,27398
Kanpur Nagar,364869,214543,25176,86110,684906,265059,32876,583540
Jalaun,304856,174683,8841,86275,91565,37634,3205,69224
Jhansi,309592,146747,6192,64086,195321,64261,3712,139850
Lalitpur,258013,136231,6967,30962,43819,15863,1140,27563
Hamirpur,256081,129321,3842,64021,55300,20517,885,37992
Mahoba,198298,100538,3372,35298,48525,23632,777,26544
Banda,378056,199992,4159,75612,67569,23785,1149,49664
Chitrakoot,207237,108800,3731,24454,23558,11002,637,13829
Fatehpur,558807,320756,31852,102262,77733,31793,3343,56046
Pratapgarh,711085,317855,44799,80353,41701,13220,1252,26731
Kaushambi,349856,193121,15394,48281,30764,13198,1354,15813
Allahabad,983266,479834,45231,153390,265304,80918,7694,222856
Bara Banki,635840,323643,75665,83931,79068,31232,6958,53609
Faizabad,510378,262335,47466,74005,79288,28623,3886,60418
Ambedkar Nagar,501559,232724,49655,69717,65031,27314,6374,35377
Sultanpur,839737,418190,72218,110006,49891,14818,2196,36371
Bahraich,698520,430987,60073,73345,61742,25932,3520,49085
Shrawasti,248770,139809,16917,25873,8504,3189,851,5358
Balrampur,410070,232510,27475,41828,35768,14487,1467,25718
Gonda,673578,344199,76115,53213,52794,17159,2323,40705
Siddharthnagar,480165,215114,31691,49938,33348,11806,1735,15641
Basti,513960,207126,51396,67329,31065,11091,2113,22398
Sant Kabir Nagar,324972,141038,33148,39972,27179,10301,1740,13508
Mahrajganj,573046,294546,50429,95699,34033,13375,1974,19876
Gorakhpur,761958,356597,67815,141725,189170,59778,7000,152093
Kushinagar,742324,414960,63098,109864,42775,16554,4021,26649
Deoria,597778,277967,50812,99829,67928,22824,4484,42388
Azamgarh,891024,430365,80193,149693,80434,30083,3861,51961
Mau,352207,166242,35573,61989,99321,43801,6754,63069
Ballia,564927,269471,72311,125414,64454,23268,5995,39317
Jaunpur,926088,426927,66679,142618,80582,35859,3546,57858
Ghazipur,700173,358489,72818,130233,61467,23604,4488,40261
Chandauli,344937,169020,23456,64849,50822,18703,2338,35169
Varanasi,438935,208934,29409,118952,316129,113175,11065,281355
Sant Ravidas Nagar (Bhadohi),293510,140005,18198,36983,45997,20239,2622,25575
Mirzapur,465152,240019,22328,89310,77963,31731,2729,53405
Sonbhadra,337048,188073,6067,46176,91040,31318,4279,64366
Etah,334246,189184,23398,30751,67752,29405,2101,53050
Kanshiram Nagar,271234,166809,24140,30379,72490,36318,3190,55745
Pashchim Champaran,839514,531413,41137,96545,96620,50146,7150,52079
Purba Champaran,1142260,639666,63967,177051,101565,43572,5790,54846
Sheohar,158484,94457,5389,31380,7516,3383,602,2774
Sitamarhi,807294,473882,50053,150964,49670,20763,3229,30051
Madhubani,1047552,532157,49235,181227,41234,17607,2928,22885
Supaul,572287,355391,28043,52079,27815,14409,2170,13018
Araria,659061,424436,24386,44158,44213,21444,2830,24008
Kishanganj,401793,249916,14063,24912,43357,20118,3426,22503
Purnia,712847,464064,36356,61305,85749,39531,8318,50678
