District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Seoni,335045,151106,16418,50927,47542,13170,1664,35134
Balaghat,400074,153229,21604,46809,70793,20814,2407,44671
Guna,212765,104681,6171,15745,72320,24300,2387,43103
Ashoknagar,169606,74627,4580,11873,37135,14038,632,20908
Shahdol,233594,103249,6775,17754,57846,16892,1562,36848
Anuppur,103857,38220,1974,4570,103857,25965,2285,59095
Sidhi,250953,95865,4769,10290,25916,6946,389,12699
Singrauli,228732,101558,4346,5033,58593,15879,1524,30527
Jhabua,211080,132137,10766,12243,24713,6302,445,18980
Alirajpur,135866,84373,5435,6794,14662,4370,382,11041
Khandwa (East Nimar),265663,139208,21254,46226,63425,19726,2791,43954
Burhanpur,115979,56134,7423,21457,62861,26214,2452,43123
Kachchh,488293,124027,5372,240241,250982,53711,2510,220614
Banas Kantha,666773,258708,26671,114019,137424,32707,2062,107191
Patan,301483,112454,11457,108233,102655,26178,1540,84588
Mahesana,476005,156130,12377,211347,183738,40055,2389,156178
Sabar Kantha,544024,223594,11425,169192,121509,32929,1945,93198
Gandhinagar,237624,86971,5466,101704,195634,47735,2544,158073
Ahmadabad,353169,143034,7064,116193,1845383,441047,11073,1699598
Surendranagar,340788,124047,7839,70884,159810,38035,2238,111867
Rajkot,459474,130491,6893,202169,721532,158016,7937,624126
Jamnagar,347158,104495,5555,120811,299167,68809,2992,250702
Porbandar,96015,29189,2209,37542,87557,21540,1139,67770
Junagadh,489237,159981,8318,225050,287506,68714,4026,246393
Amreli,313714,90664,5334,163445,116899,28875,1169,91649
Bhavnagar,387251,128568,5809,124308,356826,91705,3926,291171
Anand,413078,170602,8675,170602,208909,54526,2716,173395
Kheda,461479,194745,11537,117216,160547,40137,2409,126030
Panch Mahals,463363,233535,12048,78772,104238,25435,1147,87665
Dohad,323697,192600,6798,19746,52807,12463,581,37916
Vadodara,547454,251829,10950,156025,692971,137902,5544,636841
Narmada,138121,60636,1796,22100,22248,7498,423,16620
Bharuch,300677,114859,4511,137711,181319,36627,1088,162100
The Dangs,52102,18914,574,13182,7516,2015,53,4345
Navsari,267739,92370,3749,119144,141417,28284,1273,121195
Valsad,262410,104177,3412,72426,235981,58052,2124,179346
Surat,369840,114281,4439,184551,1529998,302940,7650,1435139
Tapi,192272,69795,1923,44223,26217,7813,210,20319
Diu,9788,1244,30,4239,9062,970,19,6770
Daman,10006,2642,91,5734,61073,22659,367,53012
Dadra and Nagar Haveli,48221,21941,386,12779,60562,12597,122,49237
Nandurbar,333440,163053,13005,74358,71572,20900,2362,45449
Dhule,382777,143159,13015,71580,146013,33145,2337,95347
Jalgaon,796223,309731,43793,179947,373565,101237,6351,242444
Buldana,575405,269865,38553,167443,152787,52559,5348,93048
Akola,308158,146376,21880,95221,196077,66275,7255,141764
Washim,274925,127291,18420,75605,55921,19964,1454,37635
Amravati,508921,226979,33589,209167,272894,85416,7914,214495
Wardha,268486,117329,25507,126726,120218,28853,4449,94251
Nagpur,430844,168030,35761,198620,877522,207973,24571,789770
Bhandara,283843,123756,22992,158385,72575,18144,2468,61181
Gondiya,319702,128840,16625,151859,66813,18040,2205,51647
Gadchiroli,293586,125068,25542,65177,37254,10059,1491,24551
Chandrapur,451324,186397,50549,131336,233331,58800,7934,167299
Yavatmal,629243,295115,50969,137175,168889,49485,6587,115183
Nanded,591119,302653,46108,113495,230563,80698,9223,168773
Hingoli,242456,113227,14548,65221,41913,16221,1300,27537
Parbhani,293480,138817,24359,39033,133759,47886,5886,89485
Jalna,404746,165946,27928,118186,98084,35801,3041,68855
Aurangabad,551789,219061,44144,109255,427343,96580,5983,373498
Nashik,904661,312109,50662,265066,764271,185718,19107,528112
Thane,713994,262750,41412,283456,2904157,630203,31946,2163597
Mumbai Suburban,0,0,0,0,3078829,834363,43104,1684120
Mumbai,0,0,0,0,1107321,290119,16610,741906
Raigarh,581868,164669,20948,296171,377160,66758,4149,305500
Pune,1165718,278607,57121,720414,2056739,429859,26738,1655675
Ahmadnagar,1041393,318667,77064,407185,282011,65145,7051,207561
Bid,563114,230877,45050,86720,135457,41721,3929,93601
Latur,428616,171876,24432,106297,157016,48047,4083,122316
Osmanabad,367158,140255,22764,81510,77832,24595,2180,44987
Solapur,779929,230859,60835,250358,376302,115902,7150,229168
Satara,774522,215318,41050,542940,200949,41597,5426,151516
Ratnagiri,538538,154561,22081,361898,100824,16737,1916,82676
Sindhudurg,295847,81654,13609,220111,44989,10708,1350,39051
Kolhapur,796496,193549,15930,592594,382818,84986,4594,285966
Sangli,626872,171763,31971,379258,226801,57381,5444,175998
Adilabad,597466,213296,38836,82451,220248,51759,6167,155716
Nizamabad,565165,179723,24303,166159,155133,39404,3413,132639
Karimnagar,877236,284225,44740,300015,288044,60490,5185,243110
Medak,593653,205404,26121,188782,195479,37923,2346,165376
Hyderabad,0,0,0,0,1066289,203662,9597,1050295
Rangareddy,432098,110185,9507,187963,1129224,182935,7905,1084056
Mahbubnagar,848963,261481,52636,151965,161052,30600,2738,125782
Nalgonda,833504,285059,49177,265888,197433,47977,3357,160316
Warangal,758738,294391,64493,225346,288249,68316,8360,237518
Khammam,669262,226880,34802,250304,201363,45509,4430,171965
Srikakulam,752752,241634,26347,96353,149684,32033,2545,98642
Vizianagaram,592458,183070,19552,63394,157056,31412,2985,104286
Visakhapatnam,718847,213498,23004,153834,660493,112284,7266,551512
East Godavari,1199479,364642,46780,563756,406362,84930,6909,354755
West Godavari,1007255,302177,48349,593274,248373,52407,5465,220307
Krishna,909292,280062,40009,511023,567042,113976,9640,527350
Guntur,1069877,331662,44935,497493,513113,112372,9750,442817
Prakasam,873486,260299,36687,244577,214089,45387,4282,165705
Sri Potti Sriramulu Nellore,689137,192270,29633,175730,264376,43887,5024,208329
Y.S.R.,590589,129339,15356,167728,293504,54592,3229,232162
Kurnool,783853,211641,25868,216344,306982,64467,4298,223176
Anantapur,902997,195951,26187,198660,341431,71360,4439,260171
Chittoor,0,0,0,0,395900,58198,4751,322659
Belgaum,962777,370670,45251,178114,356198,90831,6768,257888
Bagalkot,324799,139339,16890,23386,165858,54568,6137,70490
Bijapur,396449,165320,26959,19823,131041,36299,3801,77970
Bidar,287134,162805,14357,25268,102269,30681,3069,69646
Raichur,330446,142753,23462,33045,125402,38750,4515,63203
Koppal,272968,107550,14195,32757,64681,17270,2394,31306
Gadag,180066,75268,9184,16567,111906,39951,3805,47337
Dharwad,199707,80682,7789,46133,283397,82186,5668,232386
Uttara Kannada,334281,160790,21394,169147,140511,52411,4497,113252
Haveri,315076,141470,15754,88852,98488,29448,2857,68647
Bellary,371604,148270,20067,44965,251876,72541,7557,159942
Chitradurga,349704,157367,20633,66794,97644,30954,1953,72159
Davanagere,354680,163508,20572,105695,176011,54036,4929,142393
Shimoga,352444,161420,25729,217811,201662,64936,6454,176858
Udupi,269817,93087,11333,225568,115572,28893,2428,110950
Chikmagalur,311660,141806,17142,168609,80766,24634,2343,72205
Tumkur,685443,280347,39756,125437,204799,57139,5120,168960
Bangalore,300576,86566,7515,224831,2967384,590510,32642,2872428
Mandya,458867,202820,20650,126189,103435,31962,3207,88851
Hassan,496103,241603,30759,132460,132878,39465,3190,119458
Dakshina Kannada,332919,135831,12319,293302,317373,83470,5078,309757
Kodagu,181182,72473,8335,142772,31792,10619,1018,30839
Mysore,540596,259487,28652,145961,380386,108411,8369,358324
Chamarajanagar,262680,124773,18388,40453,57200,21393,2574,36780
Gulbarga,400704,173906,14827,18032,199303,57400,2990,135925
Yadgir,207787,106387,11429,8935,55208,18992,1602,22194
Kolar,326567,133566,16655,83275,151042,47730,2417,121136
Chikkaballapura,315649,120894,15467,72600,94053,26241,1505,79287
Bangalore Rural,231052,84334,8549,174445,95410,27765,1622,87110
Ramanagara,266950,116124,18153,74746,84834,29014,2715,75079
North Goa,115859,26648,2086,79596,209230,41010,2302,178474
South Goa,88620,20738,1773,65402,162873,39742,2444,138768
Lakshadweep,5289,2162,93,5187,15953,2285,77,15588
Kasaragod,251641,80274,19125,223458,166164,30741,4487,160515
Kannur,306288,95256,18990,294956,566191,109842,11891,557699
Wayanad,266183,94229,23957,244090,11805,4722,650,11251
Kozhikode,323793,87748,21371,314080,666543,128643,23996,654546
Malappuram,634543,175134,26651,612334,522586,111311,13065,514748
Palakkad,665899,235729,35959,587323,228442,64193,7539,216792
Thrissur,336748,118536,17175,326309,715119,203809,29320,702962
Ernakulam,369694,109430,18485,358234,804997,179515,24955,791313
Idukki,391610,172701,32504,347359,20823,4894,292,20678
Kottayam,481967,168689,22171,462689,196194,51992,5102,192663
Alappuzha,331419,99095,25520,301260,392117,104696,25488,371335
Pathanamthitta,414992,125328,20335,388848,57848,13710,1620,55535
Kollam,523715,156591,39279,487055,401415,97946,22078,386965
Thiruvananthapuram,559293,191279,57048,513991,609824,157945,37200,587261
Thiruvallur,387237,125465,12779,109589,732196,132528,7322,650191
Chennai,0,0,0,0,1314125,228658,11828,1256304
Kancheepuram,438799,139100,10093,128569,774705,136349,6198,663148
Vellore,653499,181673,15031,125472,486801,102229,7303,346603
Tiruvannamalai,563102,163300,12952,70388,147061,27501,1912,95737
Viluppuram,808042,290896,16161,106662,159272,37907,2390,104483
Salem,572813,184446,13175,83631,597539,145800,7769,328049
Namakkal,370357,94071,6667,115552,257127,62482,3086,140392
Erode,411286,117628,8226,138604,432398,102911,4757,275870
The Nilgiris,112126,38796,2355,47430,151979,55321,2888,89516
Dindigul,443818,139803,7989,83882,269724,69859,3777,154822
Karur,212241,61550,4670,48816,152420,30637,1372,102274
Tiruchirappalli,452707,134907,10865,108650,423020,90527,5077,313881
Perambalur,155413,46935,3420,24245,33179,5608,299,18315
Ariyalur,223955,84879,7615,31802,30322,8400,607,15556
Cuddalore,497429,193500,11939,98989,260780,68846,3912,178896
Nagapattinam,399016,178361,12769,124493,118724,36805,2850,82751
Thiruvarur,321331,143957,13175,101220,86848,24231,1477,63226
Thanjavur,479070,206480,21559,137973,274302,78725,5487,205178
Pudukkottai,399712,157887,16788,70750,104229,26162,1668,72231
Sivaganga,309224,98025,9277,73905,143193,31503,2005,112407
Madurai,417718,134088,8773,86468,592723,102542,4742,502630
Theni,189328,66644,3976,46954,221295,66168,2877,115074
Virudhunagar,363782,98222,6185,53113,370942,71592,3339,173972
Ramanathapuram,290478,99925,8715,65358,126761,31818,2029,89494
Thoothukkudi,336078,112587,6722,94774,300661,69754,3909,219784
Tirunelveli,547962,166033,8768,181924,516705,129693,5684,325008
Kanniyakumari,104253,37115,2815,86635,493788,162951,14814,436509
Dharmapuri,396819,131348,9921,42460,91107,20955,1458,53754
Krishnagiri,437988,143223,9636,84094,142552,26088,856,111619
Coimbatore,284795,78034,4557,94837,884957,213275,7080,689382
Tiruppur,356886,98501,6068,110278,538022,126974,3767,403517
Yanam,0,0,0,0,15519,2390,109,12711
Puducherry,87296,27848,2270,31252,203741,38711,2445,168087
Mahe,0,0,0,0,12110,1914,134,11844
Karaikal,35618,13108,748,16955,33715,7081,405,25084
Nicobars,15958,3799,192,12911,0,0,0,0
North  and Middle Andaman,39091,17318,1056,18764,1094,612,73,614
South Andaman,34901,11692,1222,22581,50631,10836,608,44455
