,District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
752,Changlang,Rural,100,49.8,1.7,65.3
753,Changlang,Total,100,48.2,1.6,69.0
754,Changlang,Urban,100,38.3,0.8,91.3
755,Tirap,Rural,100,43.3,1.0,85.6
756,Tirap,Total,100,44.1,1.1,86.9
757,Tirap,Urban,100,47.2,1.5,91.9
758,Lower Subansiri,Rural,100,40.2,1.5,68.1
759,Lower Subansiri,Total,100,37.0,1.3,74.2
760,Lower Subansiri,Urban,100,24.5,0.7,98.5
761,Kurung Kumey,Rural,100,44.7,12.5,23.5
762,Kurung Kumey,Total,100,44.8,12.3,25.5
763,Kurung Kumey,Urban,100,49.7,5.1,80.6
764,Dibang Valley,Rural,100,49.7,7.2,64.7
765,Dibang Valley,Total,100,49.4,6.7,70.1
766,Dibang Valley,Urban,100,48.8,5.6,82.2
767,Lower Dibang Valley,Rural,100,52.7,3.2,48.0
768,Lower Dibang Valley,Total,100,48.5,3.3,56.4
769,Lower Dibang Valley,Urban,100,32.3,3.7,88.6
770,Lohit,Rural,100,54.1,6.0,49.5
771,Lohit,Total,100,52.4,5.4,58.9
772,Lohit,Urban,100,46.7,3.6,89.2
773,Anjaw,Rural,100,52.8,6.0,27.7
774,Anjaw,Total,100,53.3,5.8,28.7
775,Anjaw,Urban,100,68.3,0.0,64.2
776,Mon,Rural,100,64.0,1.4,62.7
777,Mon,Total,100,61.9,2.0,66.9
778,Mon,Urban,100,48.7,5.6,94.2
779,Mokokchung,Rural,100,34.1,0.5,96.3
780,Mokokchung,Total,100,33.8,0.6,97.0
781,Mokokchung,Urban,100,33.0,0.7,98.5
782,Zunheboto,Rural,100,44.2,1.7,71.7
783,Zunheboto,Total,100,42.9,1.5,75.4
784,Zunheboto,Urban,100,36.1,0.2,94.4
785,Wokha,Rural,100,51.6,1.0,59.5
786,Wokha,Total,100,46.0,0.9,66.5
787,Wokha,Urban,100,21.7,0.2,96.7
788,Dimapur,Rural,100,44.7,3.2,91.6
789,Dimapur,Total,100,39.3,2.6,94.4
790,Dimapur,Urban,100,34.6,2.1,96.8
791,Phek,Rural,100,54.4,2.4,75.4
792,Phek,Total,100,52.4,2.1,77.8
793,Phek,Urban,100,38.9,0.4,93.6
794,Tuensang,Rural,100,55.0,3.4,49.8
795,Tuensang,Total,100,54.8,3.4,56.6
796,Tuensang,Urban,100,53.9,3.1,88.8
797,Longleng,Rural,100,66.1,2.2,69.0
798,Longleng,Total,100,65.8,2.7,69.9
799,Longleng,Urban,100,63.7,5.6,75.7
800,Kiphire,Rural,100,57.2,1.0,36.6
801,Kiphire,Total,100,51.5,0.9,48.1
802,Kiphire,Urban,100,27.8,0.4,95.3
803,Kohima,Rural,100,33.6,0.6,52.2
804,Kohima,Total,100,32.8,1.2,71.8
805,Kohima,Urban,100,31.9,1.9,92.0
806,Peren,Rural,100,53.0,0.9,77.1
807,Peren,Total,100,54.2,1.1,79.5
808,Peren,Urban,100,61.1,2.1,92.9
809,Senapati,Rural,100,59.7,2.2,72.5
810,Senapati,Total,100,59.7,2.1,73.0
811,Senapati,Urban,100,63.4,1.8,97.6
812,Tamenglong,Rural,100,56.6,8.4,66.4
813,Tamenglong,Total,100,56.3,8.6,70.6
814,Tamenglong,Urban,100,54.7,10.4,96.7
815,Churachandpur,Rural,100,53.6,2.3,82.3
816,Churachandpur,Total,100,53.5,2.3,83.4
817,Churachandpur,Urban,100,52.5,2.3,98.8
818,Bishnupur,Rural,100,34.7,5.9,91.1
819,Bishnupur,Total,100,33.0,5.2,92.3
820,Bishnupur,Urban,100,30.1,4.1,94.4
821,Thoubal,Rural,100,33.5,5.5,91.7
822,Thoubal,Total,100,31.1,5.4,92.6
823,Thoubal,Urban,100,26.8,5.2,94.1
824,Imphal West,Rural,100,33.1,5.3,92.0
825,Imphal West,Total,100,31.5,4.7,94.9
826,Imphal West,Urban,100,30.5,4.4,96.7
827,Imphal East,Rural,100,36.4,4.6,90.9
828,Imphal East,Total,100,34.4,4.0,92.8
829,Imphal East,Urban,100,31.5,3.2,95.5
830,Ukhrul,Rural,100,70.4,5.2,80.4
831,Ukhrul,Total,100,68.5,5.0,82.6
832,Ukhrul,Urban,100,56.4,4.2,96.1
833,Chandel,Rural,100,58.4,4.1,77.1
834,Chandel,Total,100,56.4,5.4,79.3
835,Chandel,Urban,100,40.7,15.6,96.9
836,Mamit,Rural,100,49.7,5.9,83.1
837,Mamit,Total,100,44.5,5.0,85.9
838,Mamit,Urban,100,21.4,1.0,98.7
839,Kolasib,Rural,100,47.1,2.2,95.7
840,Kolasib,Total,100,42.3,2.3,96.2
841,Kolasib,Urban,100,38.5,2.4,96.6
842,Aizawl,Rural,100,34.6,1.7,97.4
843,Aizawl,Total,100,20.4,0.9,98.9
844,Aizawl,Urban,100,16.6,0.7,99.3
845,Champhai,Rural,100,48.2,4.8,94.9
846,Champhai,Total,100,46.7,3.5,95.9
847,Champhai,Urban,100,44.4,1.5,97.4
848,Serchhip,Rural,100,52.0,6.2,96.4
849,Serchhip,Total,100,49.3,7.9,97.9
850,Serchhip,Urban,100,46.6,9.6,99.4
851,Lunglei,Rural,100,49.8,3.9,80.5
852,Lunglei,Total,100,40.0,2.6,87.6
853,Lunglei,Urban,100,26.8,0.8,97.2
854,Lawngtlai,Rural,100,49.7,5.2,60.5
855,Lawngtlai,Total,100,47.1,4.6,66.9
856,Lawngtlai,Urban,100,34.6,1.6,98.3
857,Saiha,Rural,100,32.4,5.2,87.0
858,Saiha,Total,100,30.9,4.0,91.5
859,Saiha,Urban,100,28.7,2.3,97.6
860,West Tripura,Rural,100,41.4,4.0,85.2
861,West Tripura,Total,100,37.6,3.8,90.5
862,West Tripura,Urban,100,32.2,3.6,98.1
863,South Tripura,Rural,100,42.9,4.5,82.6
864,South Tripura,Total,100,40.5,4.4,85.0
865,South Tripura,Urban,100,27.4,3.6,98.0
866,Dhalai,Rural,100,47.5,7.2,66.4
867,Dhalai,Total,100,46.6,7.4,70.0
868,Dhalai,Urban,100,40.0,9.0,96.4
869,North Tripura,Rural,100,48.4,8.3,81.5
870,North Tripura,Total,100,45.8,8.0,84.4
871,North Tripura,Urban,100,34.4,7.1,97.0
872,West Garo Hills,Rural,100,49.0,5.5,56.3
873,West Garo Hills,Total,100,47.3,5.6,60.6
874,West Garo Hills,Urban,100,34.1,6.3,93.9
875,East Garo Hills,Rural,100,48.9,3.6,79.3
876,East Garo Hills,Total,100,48.0,3.3,81.7
877,East Garo Hills,Urban,100,42.3,1.2,96.7
878,South Garo Hills,Rural,100,51.2,4.0,63.4
879,South Garo Hills,Total,100,50.3,3.8,65.7
880,South Garo Hills,Urban,100,41.9,2.7,87.4
881,West Khasi Hills,Rural,100,56.1,9.2,40.8
882,West Khasi Hills,Total,100,55.0,8.7,46.4
883,West Khasi Hills,Urban,100,46.8,4.6,90.5
884,Ribhoi,Rural,100,53.9,5.9,64.1
885,Ribhoi,Total,100,52.3,5.7,66.4
886,Ribhoi,Urban,100,34.1,3.1,91.4
887,East Khasi Hills,Rural,100,52.9,9.3,44.3
888,East Khasi Hills,Total,100,39.0,5.9,69.2
889,East Khasi Hills,Urban,100,23.5,2.1,96.9
890,Jaintia Hills,Rural,100,46.4,8.4,43.6
891,Jaintia Hills,Total,100,43.9,7.9,47.7
892,Jaintia Hills,Urban,100,14.0,2.1,96.1
893,Kokrajhar,Rural,100,55.0,13.0,24.9
894,Kokrajhar,Total,100,53.0,12.4,29.2
895,Kokrajhar,Urban,100,24.8,4.7,90.1
896,Dhubri,Rural,100,64.2,17.6,39.0
897,Dhubri,Total,100,61.6,17.0,43.3
898,Dhubri,Urban,100,39.8,12.2,80.1
899,Goalpara,Rural,100,60.4,12.6,62.1
900,Goalpara,Total,100,58.4,11.9,65.5
901,Goalpara,Urban,100,46.4,8.0,85.0
902,Barpeta,Rural,100,63.2,18.8,69.8
903,Barpeta,Total,100,60.5,17.7,71.9
904,Barpeta,Urban,100,33.8,7.4,92.8
905,Morigaon,Rural,100,62.5,14.8,57.2
906,Morigaon,Total,100,60.7,14.3,60.1
907,Morigaon,Urban,100,42.8,9.2,90.3
908,Nagaon,Rural,100,59.3,13.8,72.0
909,Nagaon,Total,100,57.1,12.6,75.3
910,Nagaon,Urban,100,43.7,5.9,95.2
911,Sonitpur,Rural,100,58.1,10.2,55.0
912,Sonitpur,Total,100,55.4,9.6,59.2
913,Sonitpur,Urban,100,32.2,4.5,95.0
914,Lakhimpur,Rural,100,64.8,9.7,53.7
915,Lakhimpur,Total,100,61.9,9.2,58.0
916,Lakhimpur,Urban,100,37.7,5.5,94.7
917,Dhemaji,Rural,100,66.2,10.0,40.3
918,Dhemaji,Total,100,64.7,9.7,44.8
919,Dhemaji,Urban,100,48.3,7.2,95.6
920,Tinsukia,Rural,100,56.0,5.0,77.3
921,Tinsukia,Total,100,51.9,5.0,81.1
922,Tinsukia,Urban,100,37.1,5.0,94.5
923,Dibrugarh,Rural,100,54.2,5.7,74.2
924,Dibrugarh,Total,100,49.3,5.4,78.7
925,Dibrugarh,Urban,100,29.7,4.1,96.4
926,Sivasagar,Rural,100,60.3,6.1,71.9
927,Sivasagar,Total,100,57.7,5.9,74.2
928,Sivasagar,Urban,100,36.4,3.9,93.2
929,Jorhat,Rural,100,60.9,8.1,58.9
930,Jorhat,Total,100,55.2,7.2,66.7
931,Jorhat,Urban,100,35.3,4.0,94.2
932,Golaghat,Rural,100,64.0,7.9,65.1
933,Golaghat,Total,100,61.5,7.5,68.4
934,Golaghat,Urban,100,38.7,4.2,97.7
935,Karbi Anglong,Rural,100,65.1,4.3,48.5
936,Karbi Anglong,Total,100,63.3,4.2,54.8
937,Karbi Anglong,Urban,100,52.0,3.6,94.5
938,Dima Hasao,Rural,100,62.4,4.5,57.1
939,Dima Hasao,Total,100,57.0,4.1,69.4
940,Dima Hasao,Urban,100,45.2,3.3,96.6
941,Cachar,Rural,100,56.9,12.2,77.6
942,Cachar,Total,100,53.2,11.1,81.0
943,Cachar,Urban,100,37.2,6.1,95.8
944,Karimganj,Rural,100,57.6,14.9,83.7
945,Karimganj,Total,100,55.6,14.3,85.0
946,Karimganj,Urban,100,36.1,8.7,97.4
947,Hailakandi,Rural,100,59.5,16.8,81.9
948,Hailakandi,Total,100,57.4,16.1,83.1
949,Hailakandi,Urban,100,30.5,7.6,98.1
950,Bongaigaon,Rural,100,64.3,12.5,49.2
951,Bongaigaon,Total,100,58.4,11.1,56.4
952,Bongaigaon,Urban,100,29.0,4.3,91.6
953,Chirang,Rural,100,57.5,10.9,24.0
954,Chirang,Total,100,56.1,11.2,28.7
955,Chirang,Urban,100,39.5,14.8,84.9
956,Kamrup,Rural,100,59.1,12.3,57.0
957,Kamrup,Total,100,57.7,11.9,59.2
958,Kamrup,Urban,100,45.1,8.5,78.7
959,Kamrup Metropolitan,Rural,100,52.4,10.1,64.7
960,Kamrup Metropolitan,Total,100,31.0,4.8,92.3
961,Kamrup Metropolitan,Urban,100,27.3,3.9,97.0
962,Nalbari,Rural,100,61.0,9.5,63.7
963,Nalbari,Total,100,59.0,9.4,66.7
964,Nalbari,Urban,100,43.3,8.5,90.1
965,Baksa,Rural,100,64.3,11.2,38.7
966,Baksa,Total,100,64.2,11.2,39.4
967,Baksa,Urban,100,53.2,7.5,94.1
968,Darrang,Rural,100,57.6,17.8,47.6
969,Darrang,Total,100,56.0,17.2,50.6
970,Darrang,Urban,100,34.4,8.6,91.8
971,Udalguri,Rural,100,59.9,10.7,41.5
972,Udalguri,Total,100,58.6,10.5,43.9
973,Udalguri,Urban,100,35.3,7.2,89.8
974,Darjiling,Rural,100,54.2,8.0,52.3
975,Darjiling,Total,100,45.5,7.0,65.7
976,Darjiling,Urban,100,31.7,5.3,87.0
977,Jalpaiguri,Rural,100,57.8,16.0,37.1
978,Jalpaiguri,Total,100,52.0,14.5,49.7
979,Jalpaiguri,Urban,100,37.2,10.5,82.3
980,Koch Bihar,Rural,100,57.7,12.6,55.7
981,Koch Bihar,Total,100,55.2,12.1,59.2
982,Koch Bihar,Urban,100,33.9,7.9,90.3
983,Uttar Dinajpur,Rural,100,57.9,12.4,20.6
984,Uttar Dinajpur,Total,100,55.8,12.6,27.5
985,Uttar Dinajpur,Urban,100,40.0,14.6,80.6
986,Dakshin Dinajpur,Rural,100,57.6,11.9,27.5
987,Dakshin Dinajpur,Total,100,54.2,11.5,36.8
988,Dakshin Dinajpur,Urban,100,34.3,9.3,91.6
989,Maldah,Rural,100,59.0,11.3,25.4
990,Maldah,Total,100,57.6,10.9,31.7
991,Maldah,Urban,100,48.5,8.3,74.3
992,Murshidabad,Rural,100,56.1,17.0,34.7
993,Murshidabad,Total,100,54.7,16.0,39.5
994,Murshidabad,Urban,100,48.5,11.6,61.8
995,Birbhum,Rural,100,52.0,15.6,18.7
996,Birbhum,Total,100,50.2,14.8,24.1
997,Birbhum,Urban,100,37.3,9.3,61.6
998,Barddhaman,Rural,100,51.8,9.4,46.1
999,Barddhaman,Total,100,46.7,8.3,55.7
1000,Barddhaman,Urban,100,38.2,6.3,71.5
1001,Nadia,Rural,100,53.9,15.6,71.3
1002,Nadia,Total,100,50.3,14.1,77.6
1003,Nadia,Urban,100,41.2,10.6,93.3
1004,North Twenty Four Parganas,Rural,100,46.3,19.7,78.9
1005,North Twenty Four Parganas,Total,100,39.0,11.6,87.5
1006,North Twenty Four Parganas,Urban,100,33.4,5.4,94.0
1007,Hugli,Rural,100,45.5,11.7,60.1
1008,Hugli,Total,100,40.9,9.2,71.2
1009,Hugli,Urban,100,33.7,5.3,88.8
1010,Bankura,Rural,100,52.4,11.7,16.5
1011,Bankura,Total,100,51.2,11.5,20.3
1012,Bankura,Urban,100,38.8,8.9,60.4
1013,Puruliya,Rural,100,62.7,7.4,6.1
1014,Puruliya,Total,100,60.2,7.3,11.8
1015,Puruliya,Urban,100,43.5,6.7,50.9
1016,Haora,Rural,100,40.4,13.9,60.2
1017,Haora,Total,100,37.1,9.2,74.7
1018,Haora,Urban,100,35.2,6.5,83.5
1019,Kolkata,Total,100,30.9,2.7,94.9
1020,Kolkata,Urban,100,30.9,2.7,94.9
1021,South Twenty Four Parganas,Rural,100,49.9,16.2,55.0
1022,South Twenty Four Parganas,Total,100,46.9,14.0,62.6
1023,South Twenty Four Parganas,Urban,100,38.5,8.1,83.1
1024,Paschim Medinipur,Rural,100,52.2,13.2,41.9
1025,Paschim Medinipur,Total,100,49.8,12.6,46.1
1026,Paschim Medinipur,Urban,100,32.8,8.3,77.2
1027,Purba Medinipur,Rural,100,49.0,18.1,85.6
1028,Purba Medinipur,Total,100,47.5,17.2,85.3
1029,Purba Medinipur,Urban,100,34.8,10.1,82.8
1030,Garhwa,Rural,100,62.4,4.6,4.9
1031,Garhwa,Total,100,61.4,4.7,7.1
1032,Garhwa,Urban,100,44.5,6.8,46.3
1033,Chatra,Rural,100,57.5,4.5,6.6
1034,Chatra,Total,100,56.8,4.5,10.1
1035,Chatra,Urban,100,46.4,4.1,65.7
1036,Kodarma,Rural,100,52.3,4.2,7.6
1037,Kodarma,Total,100,50.7,4.4,16.5
1038,Kodarma,Urban,100,44.7,5.4,50.3
1039,Giridih,Rural,100,53.6,3.1,5.8
1040,Giridih,Total,100,52.1,3.1,10.8
1041,Giridih,Urban,100,37.0,3.4,61.3
1042,Deoghar,Rural,100,60.6,5.1,5.5
1043,Deoghar,Total,100,56.5,5.0,16.4
1044,Deoghar,Urban,100,37.4,4.2,68.3
1045,Godda,Rural,100,62.7,9.2,7.9
1046,Godda,Total,100,61.5,9.0,10.5
1047,Godda,Urban,100,36.8,4.2,64.9
1048,Sahibganj,Rural,100,65.1,7.3,9.2
1049,Sahibganj,Total,100,62.6,7.3,15.3
1050,Sahibganj,Urban,100,46.5,7.8,54.3
1051,Pakur,Rural,100,59.9,7.1,7.3
1052,Pakur,Total,100,59.0,7.0,10.2
1053,Pakur,Urban,100,46.7,5.7,46.5
1054,Dhanbad,Rural,100,52.2,4.7,12.2
1055,Dhanbad,Total,100,47.7,4.2,39.8
1056,Dhanbad,Urban,100,44.5,3.9,59.3
1057,Bokaro,Rural,100,50.3,4.1,6.6
1058,Bokaro,Total,100,43.8,3.6,33.5
1059,Bokaro,Urban,100,36.7,3.2,62.7
1060,Lohardaga,Rural,100,62.5,2.8,7.3
1061,Lohardaga,Total,100,59.3,3.0,14.9
1062,Lohardaga,Urban,100,36.2,4.4,70.5
1063,Purbi Singhbhum,Rural,100,51.0,5.8,13.6
1064,Purbi Singhbhum,Total,100,37.4,3.9,49.9
1065,Purbi Singhbhum,Urban,100,25.8,2.3,80.7
1066,Palamu,Rural,100,62.8,6.3,7.4
1067,Palamu,Total,100,60.3,6.2,13.1
1068,Palamu,Urban,100,40.1,5.4,58.3
1069,Latehar,Rural,100,58.0,2.2,7.2
1070,Latehar,Total,100,56.7,2.4,10.8
1071,Latehar,Urban,100,40.6,5.0,55.8
1072,Hazaribagh,Rural,100,48.5,3.3,9.3
1073,Hazaribagh,Total,100,46.1,3.3,19.6
1074,Hazaribagh,Urban,100,33.1,3.0,73.5
1075,Ramgarh,Rural,100,50.1,3.8,11.0
1076,Ramgarh,Total,100,45.5,3.7,32.9
1077,Ramgarh,Urban,100,39.8,3.6,60.0
1078,Dumka,Rural,100,63.9,6.0,6.2
1079,Dumka,Total,100,62.0,5.9,9.8
1080,Dumka,Urban,100,33.5,5.0,64.2
1081,Jamtara,Rural,100,62.6,4.9,4.4
1082,Jamtara,Total,100,59.8,4.7,9.8
1083,Jamtara,Urban,100,33.5,3.3,60.1
1084,Ranchi,Rural,100,55.0,3.0,13.2
1085,Ranchi,Total,100,45.2,3.5,40.9
1086,Ranchi,Urban,100,31.8,4.1,79.1
1087,Khunti,Rural,100,57.7,3.4,4.0
1088,Khunti,Total,100,56.0,3.4,8.4
1089,Khunti,Urban,100,38.2,3.0,53.9
1090,Gumla,Rural,100,63.3,2.9,6.4
1091,Gumla,Total,100,61.7,3.0,10.3
1092,Gumla,Urban,100,38.4,5.0,68.5
1093,Simdega,Rural,100,59.6,2.9,4.9
1094,Simdega,Total,100,58.2,3.0,8.2
1095,Simdega,Urban,100,40.0,4.0,53.4
1096,Pashchimi Singhbhum,Rural,100,50.9,4.0,3.7
1097,Pashchimi Singhbhum,Total,100,49.0,4.1,11.8
1098,Pashchimi Singhbhum,Urban,100,37.5,4.5,58.9
1099,Saraikela-Kharsawan,Rural,100,53.5,3.6,6.4
1100,Saraikela-Kharsawan,Total,100,49.5,3.6,20.3
1101,Saraikela-Kharsawan,Urban,100,36.6,3.4,64.5
1102,Bargarh,Rural,100,66.9,8.5,12.3
1103,Bargarh,Total,100,65.1,8.1,16.1
1104,Bargarh,Urban,100,46.7,4.7,54.2
1105,Jharsuguda,Rural,100,71.5,5.9,9.4
1106,Jharsuguda,Total,100,61.7,5.8,26.1
1107,Jharsuguda,Urban,100,45.5,5.6,53.6
1108,Sambalpur,Rural,100,69.7,7.8,8.6
1109,Sambalpur,Total,100,61.7,7.0,22.9
1110,Sambalpur,Urban,100,41.2,5.2,59.5
1111,Debagarh,Rural,100,75.0,13.4,5.9
1112,Debagarh,Total,100,74.1,12.9,9.2
1113,Debagarh,Urban,100,62.3,5.5,51.3
1114,Sundargarh,Rural,100,75.9,5.8,8.4
1115,Sundargarh,Total,100,66.0,5.3,28.0
1116,Sundargarh,Urban,100,46.9,4.4,65.5
1117,Kendujhar,Rural,100,70.0,8.6,9.3
1118,Kendujhar,Total,100,67.0,8.5,15.1
1119,Kendujhar,Urban,100,48.8,7.7,50.8
1120,Mayurbhanj,Rural,100,72.5,8.6,15.0
1121,Mayurbhanj,Total,100,70.4,8.6,18.6
1122,Mayurbhanj,Urban,100,43.8,8.1,64.0
1123,Baleshwar,Rural,100,62.1,11.6,22.7
1124,Baleshwar,Total,100,60.0,11.1,27.5
1125,Baleshwar,Urban,100,42.2,7.2,68.0
1126,Bhadrak,Rural,100,64.3,8.9,16.0
1127,Bhadrak,Total,100,63.0,8.8,20.1
1128,Bhadrak,Urban,100,52.7,7.4,51.8
1129,Kendrapara,Rural,100,57.0,7.5,15.8
1130,Kendrapara,Total,100,56.4,7.5,17.8
1131,Kendrapara,Urban,100,44.6,8.8,57.8
1132,Jagatsinghapur,Rural,100,57.3,7.1,22.1
1133,Jagatsinghapur,Total,100,57.3,6.7,24.5
1134,Jagatsinghapur,Urban,100,57.2,3.7,44.8
1135,Cuttack,Rural,100,55.0,10.1,22.4
1136,Cuttack,Total,100,50.4,9.2,36.3
1137,Cuttack,Urban,100,36.6,6.4,78.0
1138,Jajapur,Rural,100,57.8,14.6,19.9
1139,Jajapur,Total,100,56.7,14.1,22.9
1140,Jajapur,Urban,100,42.9,7.0,61.2
1141,Dhenkanal,Rural,100,65.5,11.5,14.2
1142,Dhenkanal,Total,100,63.4,11.2,18.3
1143,Dhenkanal,Urban,100,41.8,7.6,59.8
1144,Anugul,Rural,100,64.4,12.0,16.7
1145,Anugul,Total,100,60.4,11.1,24.1
1146,Anugul,Urban,100,38.8,6.6,64.0
1147,Nayagarh,Rural,100,64.3,12.2,15.9
1148,Nayagarh,Total,100,63.1,11.8,19.0
1149,Nayagarh,Urban,100,48.5,7.6,55.8
1150,Khordha,Rural,100,62.4,8.5,18.3
1151,Khordha,Total,100,49.7,6.9,47.1
1152,Khordha,Urban,100,36.6,5.1,76.6
1153,Puri,Rural,100,64.1,11.2,15.6
1154,Puri,Total,100,61.6,10.4,23.8
1155,Puri,Urban,100,46.4,5.8,73.3
1156,Ganjam,Rural,100,61.6,9.5,19.1
1157,Ganjam,Total,100,57.1,8.6,28.5
1158,Ganjam,Urban,100,39.9,5.2,65.3
1159,Gajapati,Rural,100,67.0,5.9,12.7
1160,Gajapati,Total,100,63.7,5.8,18.1
1161,Gajapati,Urban,100,40.7,5.0,56.7
1162,Kandhamal,Rural,100,68.8,6.6,6.3
1163,Kandhamal,Total,100,66.7,6.6,11.1
1164,Kandhamal,Urban,100,46.5,6.4,56.5
1165,Baudh,Rural,100,75.1,4.7,9.0
1166,Baudh,Total,100,74.3,4.7,10.8
1167,Baudh,Urban,100,56.1,5.4,51.3
1168,Subarnapur,Rural,100,74.0,7.2,7.9
1169,Subarnapur,Total,100,73.0,7.1,10.3
1170,Subarnapur,Urban,100,61.4,5.8,39.0
1171,Balangir,Rural,100,68.6,7.0,10.1
1172,Balangir,Total,100,66.3,7.0,15.1
1173,Balangir,Urban,100,46.9,6.8,58.1
1174,Nuapada,Rural,100,72.9,4.8,12.7
1175,Nuapada,Total,100,71.9,4.9,14.5
1176,Nuapada,Urban,100,52.7,6.5,48.4
1177,Kalahandi,Rural,100,70.3,9.4,8.2
1178,Kalahandi,Total,100,68.8,9.3,11.7
1179,Kalahandi,Urban,100,47.8,6.9,58.8
1180,Rayagada,Rural,100,69.7,5.7,6.6
1181,Rayagada,Total,100,64.6,5.5,14.8
1182,Rayagada,Urban,100,35.8,4.3,60.5
1183,Nabarangapur,Rural,100,69.3,4.4,5.8
1184,Nabarangapur,Total,100,67.9,4.4,9.3
1185,Nabarangapur,Urban,100,51.4,4.9,53.4
1186,Koraput,Rural,100,65.7,5.3,8.2
1187,Koraput,Total,100,61.4,5.4,17.4
1188,Koraput,Urban,100,38.9,5.6,64.9
1189,Malkangiri,Rural,100,67.3,7.4,6.0
1190,Malkangiri,Total,100,65.6,7.5,9.3
1191,Malkangiri,Urban,100,45.7,8.4,47.7
1192,Koriya,Rural,100,50.5,2.2,8.5
1193,Koriya,Total,100,46.7,1.9,23.4
1194,Koriya,Urban,100,37.5,1.3,59.3
1195,Surguja,Rural,100,49.0,2.1,21.5
1196,Surguja,Total,100,47.2,2.1,25.1
1197,Surguja,Urban,100,29.4,1.6,61.3
1198,Jashpur,Rural,100,41.9,1.8,11.8
1199,Jashpur,Total,100,41.6,1.7,14.2
1200,Jashpur,Urban,100,37.8,1.2,42.2
1201,Raigarh,Rural,100,57.4,4.8,13.0
1202,Raigarh,Total,100,54.6,4.6,19.3
1203,Raigarh,Urban,100,37.8,3.0,57.3
1204,Korba,Rural,100,54.4,3.2,11.9
1205,Korba,Total,100,45.8,2.6,28.1
1206,Korba,Urban,100,29.7,1.6,58.6
1207,Janjgir - Champa,Rural,100,59.0,5.6,11.0
1208,Janjgir - Champa,Total,100,57.1,5.4,15.2
1209,Janjgir - Champa,Urban,100,43.8,3.8,44.4
1210,Bilaspur,Rural,100,59.1,5.2,16.6
1211,Bilaspur,Total,100,53.8,4.7,27.8
1212,Bilaspur,Urban,100,36.1,3.1,65.7
1213,Kabeerdham,Rural,100,60.9,6.2,9.0
1214,Kabeerdham,Total,100,58.4,6.1,13.2
1215,Kabeerdham,Urban,100,36.7,5.1,49.5
1216,Rajnandgaon,Rural,100,47.7,3.4,18.5
1217,Rajnandgaon,Total,100,44.9,3.2,25.0
1218,Rajnandgaon,Urban,100,32.8,2.5,53.2
1219,Durg,Rural,100,52.4,5.0,14.0
1220,Durg,Total,100,43.5,3.9,33.0
1221,Durg,Urban,100,29.6,2.2,62.6
1222,Raipur,Rural,100,57.0,5.9,12.9
1223,Raipur,Total,100,47.7,4.9,31.0
1224,Raipur,Urban,100,30.1,2.9,65.0
1225,Mahasamund,Rural,100,60.0,4.6,15.2
1226,Mahasamund,Total,100,58.1,4.6,18.8
1227,Mahasamund,Urban,100,41.2,4.1,50.1
1228,Dhamtari,Rural,100,55.1,4.2,24.2
1229,Dhamtari,Total,100,52.1,4.1,29.7
1230,Dhamtari,Urban,100,39.2,3.5,53.6
1231,Uttar Bastar Kanker,Rural,100,46.5,3.0,14.8
1232,Uttar Bastar Kanker,Total,100,45.6,3.0,19.7
1233,Uttar Bastar Kanker,Urban,100,37.8,3.2,60.9
1234,Bastar,Rural,100,52.2,3.4,13.9
1235,Bastar,Total,100,49.9,3.3,20.3
1236,Bastar,Urban,100,35.4,2.9,61.0
1237,Narayanpur,Rural,100,57.6,4.4,4.1
1238,Narayanpur,Total,100,57.2,4.1,10.7
1239,Narayanpur,Urban,100,55.3,2.2,44.2
1240,Dakshin Bastar Dantewada,Rural,100,50.1,3.2,7.2
1241,Dakshin Bastar Dantewada,Total,100,47.3,3.2,15.3
1242,Dakshin Bastar Dantewada,Urban,100,35.3,2.9,49.8
1243,Bijapur,Rural,100,56.5,4.2,2.7
1244,Bijapur,Total,100,57.0,4.1,5.6
1245,Bijapur,Urban,100,61.2,3.1,28.1
1246,Sheopur,Rural,100,60.4,5.3,5.8
1247,Sheopur,Total,100,57.6,5.0,12.9
1248,Sheopur,Urban,100,40.6,3.2,57.2
1249,Morena,Rural,100,53.5,5.2,6.7
1250,Morena,Total,100,49.7,4.5,20.9
1251,Morena,Urban,100,35.7,2.1,73.8
1252,Bhind,Rural,100,51.6,4.6,9.3
1253,Bhind,Total,100,49.0,4.1,23.0
1254,Bhind,Urban,100,40.7,2.5,67.3
1255,Gwalior,Rural,100,48.1,4.5,17.3
1256,Gwalior,Total,100,35.2,3.0,59.8
1257,Gwalior,Urban,100,26.9,2.0,87.0
1258,Datia,Rural,100,46.7,2.7,11.3
1259,Datia,Total,100,44.2,2.8,22.1
1260,Datia,Urban,100,34.8,3.0,63.1
1261,Shivpuri,Rural,100,54.3,4.2,5.6
1262,Shivpuri,Total,100,50.9,4.0,14.6
1263,Shivpuri,Urban,100,31.5,2.8,65.7
1264,Tikamgarh,Rural,100,44.7,2.9,3.9
1265,Tikamgarh,Total,100,42.9,2.8,10.2
1266,Tikamgarh,Urban,100,32.9,2.7,45.2
1267,Chhatarpur,Rural,100,45.2,2.6,5.2
1268,Chhatarpur,Total,100,42.1,2.4,15.3
1269,Chhatarpur,Urban,100,29.1,1.6,57.9
