,District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
357,Bundi,Total,100,51.9,3.1,19.1
358,Bundi,Urban,100,33.6,2.0,64.2
359,Bhilwara,Rural,100,55.5,3.6,10.5
360,Bhilwara,Total,100,50.4,3.1,23.4
361,Bhilwara,Urban,100,30.1,1.3,74.7
362,Rajsamand,Rural,100,54.6,4.2,11.3
363,Rajsamand,Total,100,51.2,3.7,20.0
364,Rajsamand,Urban,100,30.9,1.0,71.4
365,Dungarpur,Rural,100,62.1,6.2,9.1
366,Dungarpur,Total,100,59.7,5.9,13.4
367,Dungarpur,Urban,100,25.6,2.1,74.1
368,Banswara,Rural,100,68.6,9.1,6.9
369,Banswara,Total,100,65.3,8.6,12.4
370,Banswara,Urban,100,23.5,2.3,82.5
371,Chittaurgarh,Rural,100,54.9,3.6,9.6
372,Chittaurgarh,Total,100,49.9,3.3,20.8
373,Chittaurgarh,Urban,100,26.8,1.8,72.5
374,Kota,Rural,100,46.3,2.8,12.3
375,Kota,Total,100,36.0,2.2,51.4
376,Kota,Urban,100,29.3,1.9,76.8
377,Baran,Rural,100,50.7,3.1,7.5
378,Baran,Total,100,47.5,2.9,17.6
379,Baran,Urban,100,34.9,2.0,57.3
380,Jhalawar,Rural,100,59.7,4.3,7.2
381,Jhalawar,Total,100,55.0,3.9,16.6
382,Jhalawar,Urban,100,30.0,2.1,66.9
383,Udaipur,Rural,100,60.1,3.8,9.3
384,Udaipur,Total,100,52.6,3.3,24.4
385,Udaipur,Urban,100,22.0,1.2,86.2
386,Pratapgarh,Rural,100,63.2,2.5,6.2
387,Pratapgarh,Total,100,60.0,2.4,11.4
388,Pratapgarh,Urban,100,24.0,1.4,70.1
389,Saharanpur,Rural,100,46.5,5.7,42.9
390,Saharanpur,Total,100,43.6,4.9,58.3
391,Saharanpur,Urban,100,37.3,3.1,92.0
392,Muzaffarnagar,Rural,100,50.2,4.6,54.9
393,Muzaffarnagar,Total,100,47.2,4.2,66.0
394,Muzaffarnagar,Urban,100,40.0,3.2,92.6
395,Bijnor,Rural,100,52.6,5.5,50.4
396,Bijnor,Total,100,50.2,5.0,60.5
397,Bijnor,Urban,100,42.7,3.2,92.4
398,Moradabad,Rural,100,63.5,6.0,47.8
399,Moradabad,Total,100,57.7,5.1,63.2
400,Moradabad,Urban,100,46.2,3.2,93.6
401,Rampur,Rural,100,64.9,6.2,56.4
402,Rampur,Total,100,60.6,5.6,66.2
403,Rampur,Urban,100,48.5,3.9,94.3
404,Jyotiba Phule Nagar,Rural,100,60.5,5.9,40.3
405,Jyotiba Phule Nagar,Total,100,58.0,5.4,53.2
406,Jyotiba Phule Nagar,Urban,100,50.7,4.0,92.0
407,Meerut,Rural,100,49.9,4.1,53.1
408,Meerut,Total,100,42.5,3.0,74.1
409,Meerut,Urban,100,35.9,2.1,92.9
410,Baghpat,Rural,100,52.3,3.2,58.8
411,Baghpat,Total,100,51.0,3.2,64.7
412,Baghpat,Urban,100,46.5,3.1,86.5
413,Ghaziabad,Rural,100,50.7,3.6,59.8
414,Ghaziabad,Total,100,38.9,2.3,84.6
415,Ghaziabad,Urban,100,34.1,1.8,94.8
416,Gautam Buddha Nagar,Rural,100,42.3,2.4,51.7
417,Gautam Buddha Nagar,Total,100,33.0,1.6,77.7
418,Gautam Buddha Nagar,Urban,100,28.1,1.3,91.5
419,Bulandshahr,Rural,100,56.3,4.3,30.9
420,Bulandshahr,Total,100,53.1,3.9,44.3
421,Bulandshahr,Urban,100,43.3,2.8,85.0
422,Aligarh,Rural,100,56.7,4.3,21.4
423,Aligarh,Total,100,52.0,3.8,42.0
424,Aligarh,Urban,100,42.4,2.7,84.4
425,Mahamaya Nagar,Rural,100,55.1,4.2,16.5
426,Mahamaya Nagar,Total,100,53.3,4.0,28.4
427,Mahamaya Nagar,Urban,100,46.4,3.2,72.7
428,Mathura,Rural,100,53.3,4.0,19.6
429,Mathura,Total,100,49.6,3.5,37.6
430,Mathura,Urban,100,40.5,2.3,81.2
431,Agra,Rural,100,52.9,4.3,16.6
432,Agra,Total,100,46.2,3.2,46.3
433,Agra,Urban,100,38.2,1.9,82.0
434,Firozabad,Rural,100,57.6,6.7,11.4
435,Firozabad,Total,100,55.7,5.8,35.6
436,Firozabad,Urban,100,52.1,4.0,82.1
437,Mainpuri,Rural,100,53.4,7.5,13.5
438,Mainpuri,Total,100,51.6,7.0,23.2
439,Mainpuri,Urban,100,41.6,4.4,75.4
440,Budaun,Rural,100,65.4,8.1,21.0
441,Budaun,Total,100,62.9,7.7,31.2
442,Budaun,Urban,100,51.8,6.3,77.5
443,Bareilly,Rural,100,63.0,7.7,44.8
444,Bareilly,Total,100,57.0,6.3,62.0
445,Bareilly,Urban,100,46.6,4.0,92.3
446,Pilibhit,Rural,100,62.7,9.2,35.5
447,Pilibhit,Total,100,59.7,9.1,44.9
448,Pilibhit,Urban,100,45.6,8.4,88.8
449,Shahjahanpur,Rural,100,61.5,12.0,27.0
450,Shahjahanpur,Total,100,59.2,11.2,38.3
451,Shahjahanpur,Urban,100,49.7,8.2,85.9
452,Kheri,Rural,100,64.0,11.1,18.3
453,Kheri,Total,100,61.9,10.9,24.8
454,Kheri,Urban,100,45.8,8.9,76.2
455,Sitapur,Rural,100,61.9,12.1,11.9
456,Sitapur,Total,100,59.9,11.8,18.3
457,Sitapur,Urban,100,42.4,8.5,72.0
458,Hardoi,Rural,100,62.3,8.3,17.4
459,Hardoi,Total,100,60.3,8.1,24.5
460,Hardoi,Urban,100,46.4,6.6,74.0
461,Unnao,Rural,100,59.0,7.3,15.8
462,Unnao,Total,100,56.6,6.9,24.9
463,Unnao,Urban,100,44.2,5.1,71.7
464,Lucknow,Rural,100,57.2,8.3,21.5
465,Lucknow,Total,100,39.8,5.5,65.6
466,Lucknow,Urban,100,31.1,4.1,87.7
467,Rae Bareli,Rural,100,55.4,7.8,13.4
468,Rae Bareli,Total,100,53.6,7.6,18.3
469,Rae Bareli,Urban,100,34.1,5.2,71.1
470,Farrukhabad,Rural,100,59.6,8.6,23.9
471,Farrukhabad,Total,100,56.5,7.8,36.8
472,Farrukhabad,Urban,100,45.7,4.7,81.7
473,Kannauj,Rural,100,58.3,8.8,21.7
474,Kannauj,Total,100,55.8,8.3,30.6
475,Kannauj,Urban,100,43.3,5.9,75.6
476,Etawah,Rural,100,54.7,7.8,19.8
477,Etawah,Total,100,51.5,7.0,33.9
478,Etawah,Urban,100,40.5,4.2,83.4
479,Auraiya,Rural,100,55.2,9.0,20.4
480,Auraiya,Total,100,52.5,8.2,29.3
481,Auraiya,Urban,100,38.6,4.0,75.2
482,Kanpur Dehat,Rural,100,56.8,8.4,23.0
483,Kanpur Dehat,Total,100,55.2,8.1,27.0
484,Kanpur Dehat,Urban,100,39.5,5.9,66.3
485,Kanpur Nagar,Rural,100,58.8,6.9,23.6
486,Kanpur Nagar,Total,100,45.8,5.6,63.3
487,Kanpur Nagar,Urban,100,38.7,4.8,85.2
488,Jalaun,Rural,100,57.3,2.9,28.3
489,Jalaun,Total,100,53.4,3.1,39.9
490,Jalaun,Urban,100,41.1,3.5,75.6
491,Jhansi,Rural,100,47.4,2.0,20.7
492,Jhansi,Total,100,41.6,1.9,41.1
493,Jhansi,Urban,100,32.9,1.9,71.6
494,Lalitpur,Rural,100,52.8,2.7,12.0
495,Lalitpur,Total,100,50.4,2.7,19.4
496,Lalitpur,Urban,100,36.2,2.6,62.9
497,Hamirpur,Rural,100,50.5,1.5,25.0
498,Hamirpur,Total,100,48.1,1.5,32.8
499,Hamirpur,Urban,100,37.1,1.6,68.7
500,Mahoba,Rural,100,50.7,1.7,17.8
501,Mahoba,Total,100,50.2,1.7,25.5
502,Mahoba,Urban,100,48.7,1.6,54.7
503,Banda,Rural,100,52.9,1.1,20.0
504,Banda,Total,100,50.2,1.2,28.1
505,Banda,Urban,100,35.2,1.7,73.5
506,Chitrakoot,Rural,100,52.5,1.8,11.8
507,Chitrakoot,Total,100,51.9,1.9,16.5
508,Chitrakoot,Urban,100,46.7,2.7,58.7
509,Fatehpur,Rural,100,57.4,5.7,18.3
510,Fatehpur,Total,100,55.4,5.5,24.7
511,Fatehpur,Urban,100,40.9,4.3,72.1
512,Pratapgarh,Rural,100,44.7,6.3,11.3
513,Pratapgarh,Total,100,44.0,6.1,14.0
514,Pratapgarh,Urban,100,31.7,3.0,64.1
515,Kaushambi,Rural,100,55.2,4.4,13.8
516,Kaushambi,Total,100,54.2,4.4,16.7
517,Kaushambi,Urban,100,42.9,4.4,51.4
518,Allahabad,Rural,100,48.8,4.6,15.6
519,Allahabad,Total,100,44.7,4.2,31.0
520,Allahabad,Urban,100,30.5,2.9,84.0
521,Bara Banki,Rural,100,50.9,11.9,13.2
522,Bara Banki,Total,100,49.8,11.6,18.3
523,Bara Banki,Urban,100,39.5,8.8,67.8
524,Faizabad,Rural,100,51.4,9.3,14.5
525,Faizabad,Total,100,49.3,8.7,22.7
526,Faizabad,Urban,100,36.1,4.9,76.2
527,Ambedkar Nagar,Rural,100,46.4,9.9,13.9
528,Ambedkar Nagar,Total,100,45.9,9.9,18.6
529,Ambedkar Nagar,Urban,100,42.0,9.8,54.4
530,Sultanpur,Rural,100,49.8,8.6,13.1
531,Sultanpur,Total,100,48.8,8.4,16.2
532,Sultanpur,Urban,100,29.7,4.4,72.9
533,Bahraich,Rural,100,61.7,8.6,10.5
534,Bahraich,Total,100,60.2,8.4,15.7
535,Bahraich,Urban,100,42.0,5.7,79.5
536,Shrawasti,Rural,100,56.2,6.8,10.4
537,Shrawasti,Total,100,55.6,6.9,12.0
538,Shrawasti,Urban,100,37.5,10.0,63.0
539,Balrampur,Rural,100,56.7,6.7,10.2
540,Balrampur,Total,100,55.5,6.5,15.0
541,Balrampur,Urban,100,40.5,4.1,71.9
542,Gonda,Rural,100,51.1,11.3,7.9
543,Gonda,Total,100,49.9,10.9,12.5
544,Gonda,Urban,100,32.5,4.4,77.1
545,Siddharthnagar,Rural,100,44.8,6.6,10.4
546,Siddharthnagar,Total,100,44.2,6.5,12.7
547,Siddharthnagar,Urban,100,35.4,5.2,46.9
548,Basti,Rural,100,40.3,10.0,13.1
549,Basti,Total,100,40.1,9.8,16.4
550,Basti,Urban,100,35.7,6.8,72.1
551,Sant Kabir Nagar,Rural,100,43.4,10.2,12.3
552,Sant Kabir Nagar,Total,100,43.0,9.9,15.0
553,Sant Kabir Nagar,Urban,100,37.9,6.4,49.7
554,Mahrajganj,Rural,100,51.4,8.8,16.7
555,Mahrajganj,Total,100,50.8,8.7,18.8
556,Mahrajganj,Urban,100,39.3,5.8,58.4
557,Gorakhpur,Rural,100,46.8,8.9,18.6
558,Gorakhpur,Total,100,43.8,7.9,30.7
559,Gorakhpur,Urban,100,31.6,3.7,80.4
560,Kushinagar,Rural,100,55.9,8.5,14.8
561,Kushinagar,Total,100,55.1,8.5,17.0
562,Kushinagar,Urban,100,38.7,9.4,62.3
563,Deoria,Rural,100,46.5,8.5,16.7
564,Deoria,Total,100,45.3,8.3,21.2
565,Deoria,Urban,100,33.6,6.6,62.4
566,Azamgarh,Rural,100,48.3,9.0,16.8
567,Azamgarh,Total,100,47.4,8.7,20.5
568,Azamgarh,Urban,100,37.4,4.8,64.6
569,Mau,Rural,100,47.2,10.1,17.6
570,Mau,Total,100,46.5,9.4,27.4
571,Mau,Urban,100,44.1,6.8,63.5
572,Ballia,Rural,100,47.7,12.8,22.2
573,Ballia,Total,100,46.6,12.4,25.9
574,Ballia,Urban,100,36.1,9.3,61.0
575,Jaunpur,Rural,100,46.1,7.2,15.4
576,Jaunpur,Total,100,46.0,7.0,19.8
577,Jaunpur,Urban,100,44.5,4.4,71.8
578,Ghazipur,Rural,100,51.2,10.4,18.6
579,Ghazipur,Total,100,50.2,10.2,22.1
580,Ghazipur,Urban,100,38.4,7.3,65.5
581,Chandauli,Rural,100,49.0,6.8,18.8
582,Chandauli,Total,100,47.5,6.6,25.3
583,Chandauli,Urban,100,36.8,4.6,69.2
584,Varanasi,Rural,100,47.6,6.7,27.1
585,Varanasi,Total,100,42.4,5.3,54.5
586,Varanasi,Urban,100,35.8,3.5,89.0
587,Sant Ravidas Nagar (Bhadohi),Rural,100,47.7,6.2,12.6
588,Sant Ravidas Nagar (Bhadohi),Total,100,47.2,6.1,18.8
589,Sant Ravidas Nagar (Bhadohi),Urban,100,44.0,5.7,55.6
590,Mirzapur,Rural,100,51.6,4.8,19.2
591,Mirzapur,Total,100,50.1,4.6,26.2
592,Mirzapur,Urban,100,40.7,3.5,68.5
593,Sonbhadra,Rural,100,55.8,1.8,13.7
594,Sonbhadra,Total,100,51.9,2.3,24.1
595,Sonbhadra,Urban,100,34.4,4.7,70.7
596,Etah,Rural,100,56.6,7.0,9.2
597,Etah,Total,100,54.6,6.4,19.8
598,Etah,Urban,100,43.4,3.1,78.3
599,Kanshiram Nagar,Rural,100,61.5,8.9,11.2
600,Kanshiram Nagar,Total,100,59.3,8.0,24.0
601,Kanshiram Nagar,Urban,100,50.1,4.4,76.9
602,Pashchim Champaran,Rural,100,63.3,4.9,11.5
603,Pashchim Champaran,Total,100,62.1,5.2,15.9
