country,indicator,date,year_week,value,source,url
Austria,Daily hospital occupancy,26-06-2020,2020-W26,60,Country_Website,
Austria,Daily hospital occupancy,27-06-2020,2020-W26,61,Country_Website,
Austria,Daily hospital occupancy,28-06-2020,2020-W26,62,Country_Website,
Austria,Daily hospital occupancy,29-06-2020,2020-W27,66,Country_Website,
Austria,Daily hospital occupancy,30-06-2020,2020-W27,58,Country_Website,
Austria,Daily hospital occupancy,01-07-2020,2020-W27,65,Country_Website,
Austria,Daily hospital occupancy,02-07-2020,2020-W27,62,Country_Website,
Austria,Daily hospital occupancy,03-07-2020,2020-W27,65,Country_Website,
Austria,Daily hospital occupancy,04-07-2020,2020-W27,60,Country_Website,
Austria,Daily hospital occupancy,05-07-2020,2020-W27,62,Country_Website,
Austria,Daily hospital occupancy,06-07-2020,2020-W28,67,Country_Website,
Austria,Daily hospital occupancy,07-07-2020,2020-W28,81,Country_Website,
Austria,Daily hospital occupancy,08-07-2020,2020-W28,66,Country_Website,
Austria,Daily hospital occupancy,09-07-2020,2020-W28,66,Country_Website,
Austria,Daily hospital occupancy,10-07-2020,2020-W28,71,Country_Website,
Austria,Daily hospital occupancy,11-07-2020,2020-W28,68,Country_Website,
Austria,Daily hospital occupancy,12-07-2020,2020-W28,73,Country_Website,
Austria,Daily hospital occupancy,13-07-2020,2020-W29,74,Country_Website,
Austria,Daily hospital occupancy,14-07-2020,2020-W29,74,Country_Website,
Austria,Daily hospital occupancy,15-07-2020,2020-W29,86,Country_Website,
Austria,Daily hospital occupancy,16-07-2020,2020-W29,83,Country_Website,
Austria,Daily hospital occupancy,17-07-2020,2020-W29,88,Country_Website,
Austria,Daily hospital occupancy,18-07-2020,2020-W29,87,Country_Website,
Austria,Daily hospital occupancy,19-07-2020,2020-W29,85,Country_Website,
Austria,Daily hospital occupancy,20-07-2020,2020-W30,96,Country_Website,
Austria,Daily hospital occupancy,21-07-2020,2020-W30,96,Country_Website,
Austria,Daily hospital occupancy,22-07-2020,2020-W30,93,Country_Website,
Austria,Daily hospital occupancy,23-07-2020,2020-W30,87,Country_Website,
Austria,Daily hospital occupancy,24-07-2020,2020-W30,86,Country_Website,
Austria,Daily hospital occupancy,25-07-2020,2020-W30,85,Country_Website,
Austria,Daily hospital occupancy,26-07-2020,2020-W30,82,Country_Website,
Austria,Daily hospital occupancy,27-07-2020,2020-W31,79,Country_Website,
Austria,Daily hospital occupancy,28-07-2020,2020-W31,74,Country_Website,
Austria,Daily hospital occupancy,29-07-2020,2020-W31,74,Country_Website,
Austria,Daily hospital occupancy,30-07-2020,2020-W31,87,Country_Website,
Austria,Daily hospital occupancy,31-07-2020,2020-W31,84,Country_Website,
Austria,Daily hospital occupancy,01-08-2020,2020-W31,70,Country_Website,
Austria,Daily hospital occupancy,02-08-2020,2020-W31,73,Country_Website,
Austria,Daily hospital occupancy,03-08-2020,2020-W32,92,Country_Website,
Austria,Daily hospital occupancy,04-08-2020,2020-W32,84,Country_Website,
Austria,Daily hospital occupancy,05-08-2020,2020-W32,90,Country_Website,
Austria,Daily hospital occupancy,06-08-2020,2020-W32,92,Country_Website,
Austria,Daily hospital occupancy,07-08-2020,2020-W32,93,Country_Website,
Austria,Daily hospital occupancy,08-08-2020,2020-W32,96,Country_Website,
Austria,Daily hospital occupancy,09-08-2020,2020-W32,99,Country_Website,
Austria,Daily hospital occupancy,10-08-2020,2020-W33,92,Country_Website,
Austria,Daily hospital occupancy,11-08-2020,2020-W33,94,Country_Website,
Austria,Daily hospital occupancy,12-08-2020,2020-W33,93,Country_Website,
Austria,Daily hospital occupancy,13-08-2020,2020-W33,92,Country_Website,
Austria,Daily hospital occupancy,14-08-2020,2020-W33,91,Country_Website,
Austria,Daily hospital occupancy,15-08-2020,2020-W33,83,Country_Website,
Austria,Daily hospital occupancy,16-08-2020,2020-W33,65,Country_Website,
Austria,Daily hospital occupancy,17-08-2020,2020-W34,91,Country_Website,
Austria,Daily hospital occupancy,18-08-2020,2020-W34,97,Country_Website,
Austria,Daily hospital occupancy,19-08-2020,2020-W34,101,Country_Website,
Austria,Daily hospital occupancy,20-08-2020,2020-W34,95,Country_Website,
Austria,Daily hospital occupancy,21-08-2020,2020-W34,90,Country_Website,
Austria,Daily hospital occupancy,22-08-2020,2020-W34,94,Country_Website,
Austria,Daily hospital occupancy,23-08-2020,2020-W34,93,Country_Website,
Austria,Daily hospital occupancy,24-08-2020,2020-W35,112,Country_Website,
Austria,Daily hospital occupancy,25-08-2020,2020-W35,114,Country_Website,
Austria,Daily hospital occupancy,26-08-2020,2020-W35,118,Country_Website,
Austria,Daily hospital occupancy,27-08-2020,2020-W35,121,Country_Website,
Austria,Daily hospital occupancy,28-08-2020,2020-W35,119,Country_Website,
Austria,Daily hospital occupancy,29-08-2020,2020-W35,114,Country_Website,
Austria,Daily hospital occupancy,30-08-2020,2020-W35,110,Country_Website,
Austria,Daily hospital occupancy,31-08-2020,2020-W36,123,Country_Website,
Austria,Daily hospital occupancy,01-09-2020,2020-W36,119,Country_Website,
Austria,Daily hospital occupancy,02-09-2020,2020-W36,127,Country_Website,
Austria,Daily hospital occupancy,03-09-2020,2020-W36,132,Country_Website,
Austria,Daily hospital occupancy,04-09-2020,2020-W36,128,Country_Website,
Austria,Daily hospital occupancy,05-09-2020,2020-W36,129,Country_Website,
Austria,Daily hospital occupancy,06-09-2020,2020-W36,115,Country_Website,
Austria,Daily hospital occupancy,07-09-2020,2020-W37,134,Country_Website,
Austria,Daily hospital occupancy,08-09-2020,2020-W37,142,Country_Website,
Austria,Daily hospital occupancy,09-09-2020,2020-W37,161,Country_Website,
Austria,Daily hospital occupancy,10-09-2020,2020-W37,166,Country_Website,
Austria,Daily hospital occupancy,11-09-2020,2020-W37,163,Country_Website,
Austria,Daily hospital occupancy,12-09-2020,2020-W37,167,Country_Website,
Austria,Daily hospital occupancy,13-09-2020,2020-W37,182,Country_Website,
Austria,Daily hospital occupancy,14-09-2020,2020-W38,208,Country_Website,
Austria,Daily hospital occupancy,15-09-2020,2020-W38,244,Country_Website,
Austria,Daily hospital occupancy,16-09-2020,2020-W38,267,Country_Website,
Austria,Daily hospital occupancy,17-09-2020,2020-W38,264,Country_Website,
Austria,Daily hospital occupancy,18-09-2020,2020-W38,272,Country_Website,
Austria,Daily hospital occupancy,19-09-2020,2020-W38,265,Country_Website,
Austria,Daily hospital occupancy,20-09-2020,2020-W38,273,Country_Website,
Austria,Daily hospital occupancy,21-09-2020,2020-W39,297,Country_Website,
Austria,Daily hospital occupancy,22-09-2020,2020-W39,315,Country_Website,
Austria,Daily hospital occupancy,23-09-2020,2020-W39,336,Country_Website,
Austria,Daily hospital occupancy,24-09-2020,2020-W39,344,Country_Website,
Austria,Daily hospital occupancy,25-09-2020,2020-W39,333,Country_Website,
Austria,Daily hospital occupancy,26-09-2020,2020-W39,343,Country_Website,
Austria,Daily hospital occupancy,27-09-2020,2020-W39,362,Country_Website,
Austria,Daily hospital occupancy,28-09-2020,2020-W40,381,Country_Website,
Austria,Daily hospital occupancy,29-09-2020,2020-W40,401,Country_Website,
Austria,Daily hospital occupancy,30-09-2020,2020-W40,406,Country_Website,
Austria,Daily hospital occupancy,01-10-2020,2020-W40,395,Country_Website,
Austria,Daily hospital occupancy,02-10-2020,2020-W40,372,Country_Website,
Austria,Daily hospital occupancy,03-10-2020,2020-W40,397,Country_Website,
Austria,Daily hospital occupancy,04-10-2020,2020-W40,373,Country_Website,
Austria,Daily hospital occupancy,05-10-2020,2020-W41,387,Country_Website,
Austria,Daily hospital occupancy,06-10-2020,2020-W41,397,Country_Website,
Austria,Daily hospital occupancy,07-10-2020,2020-W41,425,Country_Website,
Austria,Daily hospital occupancy,08-10-2020,2020-W41,399,Country_Website,
Austria,Daily hospital occupancy,09-10-2020,2020-W41,405,Country_Website,
Austria,Daily hospital occupancy,10-10-2020,2020-W41,410,Country_Website,
Austria,Daily hospital occupancy,11-10-2020,2020-W41,431,Country_Website,
Austria,Daily hospital occupancy,12-10-2020,2020-W42,464,Country_Website,
Austria,Daily hospital occupancy,13-10-2020,2020-W42,504,Country_Website,
Austria,Daily hospital occupancy,14-10-2020,2020-W42,542,Country_Website,
Austria,Daily hospital occupancy,15-10-2020,2020-W42,545,Country_Website,
Austria,Daily hospital occupancy,16-10-2020,2020-W42,584,Country_Website,
Austria,Daily hospital occupancy,17-10-2020,2020-W42,594,Country_Website,
Austria,Daily hospital occupancy,18-10-2020,2020-W42,607,Country_Website,
Austria,Daily hospital occupancy,19-10-2020,2020-W43,654,Country_Website,
Austria,Daily hospital occupancy,20-10-2020,2020-W43,744,Country_Website,
Austria,Daily hospital occupancy,21-10-2020,2020-W43,813,Country_Website,
Austria,Daily hospital occupancy,22-10-2020,2020-W43,841,Country_Website,
Austria,Daily hospital occupancy,23-10-2020,2020-W43,900,Country_Website,
Austria,Daily hospital occupancy,24-10-2020,2020-W43,1002,Country_Website,
Austria,Daily hospital occupancy,25-10-2020,2020-W43,1051,Country_Website,
Austria,Daily hospital occupancy,26-10-2020,2020-W44,1142,Country_Website,
Austria,Daily hospital occupancy,27-10-2020,2020-W44,1197,Country_Website,
Austria,Daily hospital occupancy,28-10-2020,2020-W44,1345,Country_Website,
Austria,Daily hospital occupancy,29-10-2020,2020-W44,1444,Country_Website,
Austria,Daily hospital occupancy,30-10-2020,2020-W44,1540,Country_Website,
Austria,Daily hospital occupancy,31-10-2020,2020-W44,1602,Country_Website,
Austria,Daily hospital occupancy,01-11-2020,2020-W44,1657,Country_Website,
Austria,Daily hospital occupancy,02-11-2020,2020-W45,1825,Country_Website,
Austria,Daily hospital occupancy,03-11-2020,2020-W45,2065,Country_Website,
