,District name,Households,Rural_Households,Urban_Households
136,Jyotiba Phule Nagar,451374.0,335888.0,115486.0
137,Meerut,803823.0,381520.0,422303.0
138,Baghpat,316046.0,246055.0,69991.0
139,Ghaziabad,1191723.0,355407.0,836316.0
140,Gautam Buddha Nagar,509770.0,170835.0,338935.0
141,Bulandshahr,880077.0,658449.0,221628.0
142,Aligarh,858059.0,582117.0,275942.0
143,Mahamaya Nagar,373033.0,288150.0,84883.0
144,Mathura,585290.0,407488.0,177802.0
145,Agra,903823.0,496971.0,406852.0
146,Firozabad,535368.0,349747.0,185621.0
147,Mainpuri,411258.0,338475.0,72783.0
148,Budaun,867624.0,710956.0,156668.0
149,Bareilly,994411.0,631613.0,362798.0
150,Pilibhit,461390.0,371752.0,89638.0
151,Shahjahanpur,655003.0,520289.0,134714.0
152,Kheri,862610.0,754938.0,107672.0
153,Sitapur,938902.0,827583.0,111319.0
154,Hardoi,907677.0,786613.0,121064.0
155,Unnao,717356.0,596317.0,121039.0
156,Lucknow,1061721.0,344155.0,717566.0
157,Rae Bareli,778418.0,705025.0,73393.0
158,Farrukhabad,411490.0,316647.0,94843.0
159,Kannauj,365770.0,299785.0,65985.0
160,Etawah,351126.0,265643.0,85483.0
161,Auraiya,314274.0,255836.0,58438.0
162,Kanpur Dehat,405256.0,363933.0,41323.0
163,Kanpur Nagar,1049775.0,364869.0,684906.0
164,Jalaun,396421.0,304856.0,91565.0
165,Jhansi,504913.0,309592.0,195321.0
166,Lalitpur,301832.0,258013.0,43819.0
167,Hamirpur,311381.0,256081.0,55300.0
168,Mahoba,246823.0,198298.0,48525.0
169,Banda,445625.0,378056.0,67569.0
170,Chitrakoot,230795.0,207237.0,23558.0
171,Fatehpur,636540.0,558807.0,77733.0
172,Pratapgarh,752786.0,711085.0,41701.0
173,Kaushambi,380620.0,349856.0,30764.0
174,Allahabad,1248570.0,983266.0,265304.0
175,Bara Banki,714908.0,635840.0,79068.0
176,Faizabad,589666.0,510378.0,79288.0
177,Ambedkar Nagar,566590.0,501559.0,65031.0
178,Sultanpur,889628.0,839737.0,49891.0
179,Bahraich,760262.0,698520.0,61742.0
180,Shrawasti,257274.0,248770.0,8504.0
181,Balrampur,445838.0,410070.0,35768.0
182,Gonda,726372.0,673578.0,52794.0
183,Siddharthnagar,513513.0,480165.0,33348.0
184,Basti,545025.0,513960.0,31065.0
185,Sant Kabir Nagar,352151.0,324972.0,27179.0
186,Mahrajganj,607079.0,573046.0,34033.0
187,Gorakhpur,951128.0,761958.0,189170.0
188,Kushinagar,785099.0,742324.0,42775.0
189,Deoria,665706.0,597778.0,67928.0
190,Azamgarh,971458.0,891024.0,80434.0
191,Mau,451528.0,352207.0,99321.0
192,Ballia,629381.0,564927.0,64454.0
193,Jaunpur,1006670.0,926088.0,80582.0
194,Ghazipur,761640.0,700173.0,61467.0
195,Chandauli,395759.0,344937.0,50822.0
196,Varanasi,755064.0,438935.0,316129.0
197,Sant Ravidas Nagar (Bhadohi),339507.0,293510.0,45997.0
198,Mirzapur,543115.0,465152.0,77963.0
199,Sonbhadra,428088.0,337048.0,91040.0
200,Etah,401998.0,334246.0,67752.0
201,Kanshiram Nagar,343724.0,271234.0,72490.0
202,Pashchim Champaran,936134.0,839514.0,96620.0
203,Purba Champaran,1243825.0,1142260.0,101565.0
204,Sheohar,166000.0,158484.0,7516.0
205,Sitamarhi,856964.0,807294.0,49670.0
206,Madhubani,1088786.0,1047552.0,41234.0
207,Supaul,600102.0,572287.0,27815.0
208,Araria,703274.0,659061.0,44213.0
209,Kishanganj,445150.0,401793.0,43357.0
210,Purnia,798596.0,712847.0,85749.0
211,Katihar,738070.0,668232.0,69838.0
212,Madhepura,510278.0,486278.0,24000.0
213,Saharsa,470697.0,432651.0,38046.0
214,Darbhanga,1002713.0,907174.0,95539.0
215,Muzaffarpur,1119394.0,998694.0,120700.0
216,Gopalganj,554058.0,515925.0,38133.0
217,Siwan,674372.0,632514.0,41858.0
218,Saran,777622.0,701323.0,76299.0
219,Vaishali,750811.0,699317.0,51494.0
220,Samastipur,1056465.0,1012979.0,43486.0
221,Begusarai,733625.0,594377.0,139248.0
222,Khagaria,394703.0,373696.0,21007.0
223,Bhagalpur,653161.0,522527.0,130634.0
224,Banka,444096.0,425604.0,18492.0
225,Munger,308063.0,222281.0,85782.0
226,Lakhisarai,207645.0,175882.0,31763.0
227,Sheikhpura,132638.0,108293.0,24345.0
228,Nalanda,616663.0,514141.0,102522.0
229,Patna,1210094.0,657991.0,552103.0
230,Bhojpur,511927.0,434559.0,77368.0
231,Buxar,334657.0,299252.0,35405.0
232,Kaimur (Bhabua),340442.0,325143.0,15299.0
233,Rohtas,608061.0,512383.0,95678.0
234,Aurangabad,477297.0,428291.0,49006.0
235,Gaya,807571.0,696289.0,111282.0
236,Nawada,424874.0,379551.0,45323.0
237,Jamui,356760.0,325909.0,30851.0
238,Jehanabad,214792.0,186660.0,28132.0
239,Arwal,144294.0,134334.0,9960.0
240,North  District,13609.0,11543.0,2066.0
241,West District,33977.0,32091.0,1886.0
242,South District,39298.0,31135.0,8163.0
243,East District,82138.0,40626.0,41512.0
244,Tawang,13182.0,10730.0,2452.0
245,West Kameng,17889.0,17889.0,0.0
246,East Kameng,19718.0,14503.0,5215.0
247,Papum Pare,50488.0,20308.0,30180.0
248,Upper Subansiri,19214.0,14542.0,4672.0
249,West Siang,30775.0,22272.0,8503.0
250,East Siang,29021.0,19497.0,9524.0
251,Upper Siang,10751.0,8569.0,2182.0
252,Changlang,39920.0,33422.0,6498.0
253,Tirap,24920.0,18420.0,6500.0
254,Lower Subansiri,23477.0,18112.0,5365.0
255,Kurung Kumey,19695.0,18603.0,1092.0
256,Dibang Valley,3230.0,2055.0,1175.0
257,Lower Dibang Valley,15950.0,12000.0,3950.0
258,Lohit,44971.0,33599.0,11372.0
259,Anjaw,6453.0,6025.0,428.0
260,Mon,51022.0,43607.0,7415.0
261,Mokokchung,55278.0,37536.0,17742.0
262,Zunheboto,37311.0,31267.0,6044.0
263,Wokha,46669.0,38499.0,8170.0
264,Dimapur,111969.0,49116.0,62853.0
265,Phek,46198.0,38903.0,7295.0
266,Tuensang,50141.0,40690.0,9451.0
267,Longleng,15137.0,12686.0,2451.0
268,Kiphire,20322.0,16032.0,4290.0
