,District name,Households,Rural_Households,Urban_Households
589,Wayanad,277988.0,266183.0,11805.0
590,Kozhikode,990336.0,323793.0,666543.0
591,Malappuram,1157129.0,634543.0,522586.0
592,Palakkad,894341.0,665899.0,228442.0
593,Thrissur,1051867.0,336748.0,715119.0
594,Ernakulam,1174691.0,369694.0,804997.0
595,Idukki,412433.0,391610.0,20823.0
596,Kottayam,678161.0,481967.0,196194.0
597,Alappuzha,723536.0,331419.0,392117.0
598,Pathanamthitta,472840.0,414992.0,57848.0
599,Kollam,925130.0,523715.0,401415.0
600,Thiruvananthapuram,1169117.0,559293.0,609824.0
601,Thiruvallur,1119433.0,387237.0,732196.0
602,Chennai,1314125.0,0.0,1314125.0
603,Kancheepuram,1213504.0,438799.0,774705.0
604,Vellore,1140300.0,653499.0,486801.0
605,Tiruvannamalai,710163.0,563102.0,147061.0
606,Viluppuram,967314.0,808042.0,159272.0
607,Salem,1170352.0,572813.0,597539.0
608,Namakkal,627484.0,370357.0,257127.0
609,Erode,843684.0,411286.0,432398.0
610,The Nilgiris,264105.0,112126.0,151979.0
611,Dindigul,713542.0,443818.0,269724.0
612,Karur,364661.0,212241.0,152420.0
613,Tiruchirappalli,875727.0,452707.0,423020.0
614,Perambalur,188592.0,155413.0,33179.0
615,Ariyalur,254277.0,223955.0,30322.0
616,Cuddalore,758209.0,497429.0,260780.0
617,Nagapattinam,517740.0,399016.0,118724.0
618,Thiruvarur,408179.0,321331.0,86848.0
619,Thanjavur,753372.0,479070.0,274302.0
620,Pudukkottai,503941.0,399712.0,104229.0
621,Sivaganga,452417.0,309224.0,143193.0
622,Madurai,1010441.0,417718.0,592723.0
623,Theni,410623.0,189328.0,221295.0
624,Virudhunagar,734724.0,363782.0,370942.0
625,Ramanathapuram,417239.0,290478.0,126761.0
626,Thoothukkudi,636739.0,336078.0,300661.0
627,Tirunelveli,1064667.0,547962.0,516705.0
628,Kanniyakumari,598041.0,104253.0,493788.0
629,Dharmapuri,487926.0,396819.0,91107.0
630,Krishnagiri,580540.0,437988.0,142552.0
631,Coimbatore,1169752.0,284795.0,884957.0
632,Tiruppur,894908.0,356886.0,538022.0
633,Yanam,15519.0,0.0,15519.0
634,PONDICHERRY,291037.0,87296.0,203741.0
635,Mahe,12110.0,0.0,12110.0
636,Karaikal,69333.0,35618.0,33715.0
637,Nicobars,15958.0,15958.0,0.0
638,North  AND Middle Andaman,40185.0,39091.0,1094.0
639,South Andaman,85532.0,34901.0,50631.0
