,District,Total_Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise,Households_Total_Livable,Households_Total_Dilapidated,Households_Total_Toilet_Premise
263,Dimapur,111969.0,49116.0,62853.0,21955,21748,1572,1320,44991,60842,44004,2912,105699
264,Phek,46198.0,38903.0,7295.0,21164,2838,934,30,29333,6829,24208,971,35943
265,Tuensang,50141.0,40690.0,9451.0,22380,5095,1384,293,20264,8393,27478,1705,28380
266,Longleng,15137.0,12686.0,2451.0,8386,1562,280,138,8754,1856,9961,409,10581
267,Kiphire,20322.0,16032.0,4290.0,9171,1193,161,18,5868,4089,10466,183,9775
268,Kohima,76100.0,31845.0,44255.0,10700,14118,192,841,16624,40715,24961,914,54640
269,Peren,24277.0,20204.0,4073.0,10709,2489,182,86,15578,3784,13159,268,19301
270,Senapati,39834.0,38008.0,1826.0,22691,1158,837,33,27556,1783,23781,837,29079
271,Tamenglong,28101.0,23982.0,4119.0,13574,2254,2015,429,15925,3984,15821,2417,19840
272,Churachandpur,57825.0,52972.0,4853.0,28393,2548,1219,112,43596,4795,30937,1330,48227
273,Bishnupur,56149.0,34977.0,21172.0,12138,6373,2064,869,31865,19987,18530,2920,51826
274,Thoubal,104263.0,65961.0,38302.0,22097,10265,3628,1992,60487,36043,32426,5631,96548
275,Imphal West,136801.0,51055.0,85746.0,16900,26153,2706,3773,46971,82917,43093,6430,129825
276,Imphal East,110941.0,64421.0,46520.0,23450,14654,2964,1489,58559,44427,38164,4438,102954
277,Ukhrul,41890.0,36084.0,5806.0,25404,3275,1877,244,29012,5580,28695,2095,34602
278,Chandel,34160.0,30377.0,3783.0,17741,1540,1246,591,23421,3666,19267,1845,27089
279,Mamit,20855.0,16726.0,4129.0,8313,884,987,42,13900,4076,9281,1043,17915
280,Kolasib,22176.0,9669.0,12507.0,4555,4816,213,301,9254,12082,9381,511,21334
281,Aizawl,100911.0,20570.0,80341.0,7118,13337,350,563,20036,79779,20586,909,99801
282,Champhai,31112.0,18395.0,12717.0,8867,5647,883,191,17457,12387,14530,1089,29837
283,Serchhip,15490.0,7472.0,8018.0,3886,3737,464,770,7204,7970,7637,1224,15165
284,Lunglei,38794.0,21479.0,17315.0,10697,4641,838,139,17291,16831,15518,1009,33984
285,Lawngtlai,27266.0,21993.0,5273.0,10931,1825,1144,85,13306,5184,12843,1255,18241
286,Saiha,12827.0,7043.0,5784.0,2282,1661,367,134,6128,5646,3964,514,11737
287,West Tripura,506637.0,289621.0,217016.0,119904,69880,11585,7813,246758,212893,190496,19253,458507
288,South Tripura,264077.0,219171.0,44906.0,94025,12305,9863,1617,181036,44008,106952,11620,224466
289,Dhalai,103528.0,89457.0,14071.0,42493,5629,6441,1267,59400,13565,48245,7662,72470
290,North Tripura,192621.0,150437.0,42184.0,72812,14512,12487,2996,122607,40919,88221,15410,162573
291,West Garo Hills,157945.0,139351.0,18594.0,68282,6341,7665,1172,78455,17460,74708,8845,95715
292,East Garo Hills,74216.0,62698.0,11518.0,30660,4873,2258,139,49720,11138,35624,2450,60635
293,South Garo Hills,39643.0,35930.0,3713.0,18397,1556,1438,101,22780,3246,19941,1507,26046
294,West Khasi Hills,87131.0,74832.0,12299.0,41981,5756,6885,566,30532,11131,47923,7581,40429
295,Ribhoi,63724.0,57988.0,5736.0,31256,1956,3422,178,37171,5243,33328,3633,42313
296,East Khasi Hills,215091.0,106248.0,108843.0,56206,25579,9882,2286,47068,105469,83886,12691,148843
297,Jaintia Hills,83717.0,76546.0,7171.0,35518,1004,6430,151,33375,6892,36752,6614,39934
298,Kokrajhar,222011.0,204896.0,17115.0,112693,4245,26637,805,51020,15421,117666,27530,64828
299,Dhubri,521019.0,460602.0,60417.0,295707,24046,81066,7371,179635,48395,320948,88574,225602
300,Goalpara,268114.0,228610.0,39504.0,138081,18330,28805,3161,141967,33579,156579,31906,175615
301,Barpeta,499381.0,447189.0,52192.0,282624,17641,84072,3863,312138,48435,302126,88391,359055
302,Morigaon,257481.0,232206.0,25275.0,145129,10818,34367,2326,132822,22824,156291,36820,154747
303,Nagaon,799185.0,674999.0,124186.0,400275,54270,93150,7327,486000,118226,456335,100698,601787
304,Sonitpur,547853.0,483325.0,64528.0,280812,20779,49300,2904,265829,61302,303511,52594,324329
305,Lakhimpur,327933.0,293239.0,34694.0,190019,13080,28445,1909,157470,32856,202991,30170,190202
306,Dhemaji,228262.0,211758.0,16504.0,140184,7972,21176,1189,85339,15778,147686,22142,102262
307,Tinsukia,381614.0,290704.0,90910.0,162795,33728,14536,4546,224715,85910,198058,19081,309489
308,Dibrugarh,377015.0,299852.0,77163.0,162520,22918,17092,3164,222491,74386,185869,20359,296711
309,Sivasagar,405229.0,360182.0,45047.0,217190,16398,21972,1757,258971,41984,233818,23909,300680
310,Jorhat,367154.0,286330.0,80824.0,174375,28531,23193,3233,168649,76137,202670,26436,244892
311,Golaghat,327083.0,292893.0,34190.0,187452,13232,23139,1436,190674,33404,201157,24532,223725
312,Karbi Anglong,252876.0,215691.0,37185.0,140415,19337,9275,1339,104611,35140,160071,10621,138577
313,Dima Hasao,58919.0,37610.0,21309.0,23469,9632,1693,704,21476,20585,33584,2416,40890
314,Cachar,435160.0,346227.0,88933.0,197004,33084,42240,5425,268673,85198,231506,48303,352480
315,Karimganj,294640.0,261945.0,32695.0,150881,11803,39030,2845,219248,31845,163820,42134,250444
316,Hailakandi,175417.0,159215.0,16202.0,94733,4942,26749,1232,130398,15895,100690,28243,145772
317,Bongaigaon,220393.0,181923.0,38470.0,116977,11157,22741,1655,89507,35239,128710,24464,124302
318,Chirang,140631.0,129018.0,11613.0,74186,4588,14063,1719,30965,9860,78894,15751,40362
319,Kamrup,434445.0,390596.0,43849.0,230843,19776,48044,3728,222640,34510,250675,51699,257192
320,Kamrup Metropolitan,428192.0,61334.0,366858.0,32140,100153,6195,14308,39684,355853,132740,20554,395222
321,Nalbari,238944.0,210706.0,28238.0,128531,12228,20018,2401,134220,25443,140977,22461,159376
322,Baksa,295221.0,291641.0,3580.0,187526,1905,32664,269,112866,3369,189532,33065,116318
323,Darrang,288706.0,268517.0,20189.0,154666,6946,47797,1737,127815,18534,161676,49658,146086
324,Udalguri,281625.0,267790.0,13835.0,160407,4884,28654,997,111133,12424,165033,29571,123634
325,Darjiling,518959.0,303284.0,215675.0,164380,68369,24263,11431,158618,187638,236127,36328,340957
326,Jalpaiguri,1117804.0,798378.0,319426.0,461463,118827,127741,33540,296199,262888,581259,162082,555549
327,Koch Bihar,900738.0,803407.0,97331.0,463566,32996,101230,7690,447498,87890,497208,108990,533237
328,Uttar Dinajpur,778250.0,683981.0,94269.0,396025,37708,84814,13764,140901,75981,434264,98060,214019
329,Dakshin Dinajpur,461026.0,390949.0,70077.0,225187,24037,46523,6518,107511,64191,249877,53018,169658
330,Maldah,958996.0,830318.0,128678.0,489888,62409,93826,10681,210901,95608,552382,104531,304002
331,Murshidabad,1851965.0,1501066.0,350899.0,842099,170187,255182,40705,520870,216856,1013025,296315,731527
332,Birbhum,965609.0,831044.0,134565.0,432143,50193,129643,12515,155406,82893,484736,142911,232712
333,Barddhaman,2227236.0,1364868.0,862368.0,707002,329425,128298,54330,629205,616594,1040120,184861,1240571
334,Nadia,1549771.0,1081381.0,468390.0,582865,192977,168696,49650,771025,437008,779535,218518,1202623
335,North Twenty Four Parganas,2859140.0,1209337.0,1649803.0,559924,551035,238240,89090,954167,1550815,1115065,331661,2501748
336,Hugli,1640038.0,992085.0,647953.0,451399,218361,116074,34342,596244,575383,670776,150884,1167708
337,Bankura,991400.0,900515.0,90885.0,471870,35264,105361,8089,148585,54895,507597,114011,201255
338,Puruliya,752652.0,653219.0,99433.0,409569,43254,48339,6663,39847,50612,453097,54944,88813
339,Haora,1352697.0,483384.0,869313.0,195288,305999,67191,56506,290998,725877,501851,124449,1010465
340,Kolkata,1308106.0,0.0,1308106.0,,404205,,35319,,1241393,404205,35319,1241393
341,South Twenty Four Parganas,2180232.0,1568802.0,611430.0,782833,235401,254146,49526,862842,508099,1022529,305233,1364826
342,Paschim Medinipur,1565383.0,1364335.0,201048.0,712183,65944,180093,16687,571657,155210,779561,197239,721642
343,Purba Medinipur,1363713.0,1193006.0,170707.0,584573,59407,215935,17242,1021214,141346,647764,234559,1163248
344,Garhwa,292052.0,272872.0,19180.0,170273,8536,12553,1305,13371,8881,179320,13727,20736
345,Chatra,215502.0,200974.0,14528.0,115561,6741,9044,596,13265,9545,122406,9698,21766
346,Kodarma,151485.0,116714.0,34771.0,61042,15543,4902,1878,8871,17490,76803,6666,24996
347,Giridih,499450.0,452564.0,46886.0,242575,17348,14030,1595,26249,28742,260214,15483,53941
348,Deoghar,321710.0,257373.0,64337.0,155969,24063,13127,2703,14156,43943,181767,16086,52761
349,Godda,292030.0,276454.0,15576.0,173337,5732,25434,655,21840,10109,179599,26283,30664
350,Sahibganj,260993.0,223450.0,37543.0,145466,17458,16312,2929,20558,20386,163382,19053,39932
351,Pakur,217175.0,200588.0,16587.0,120153,7747,14242,946,14643,7713,128134,15203,22152
352,Dhanbad,664219.0,258764.0,405455.0,135075,180428,12162,15813,31570,240435,316833,27898,264360
353,Bokaro,508764.0,250312.0,258452.0,125907,94852,10263,8271,16521,162050,222839,18316,170436
354,Lohardaga,111484.0,96759.0,14725.0,60475,5331,2710,648,7064,10382,66111,3345,16612
355,Purbi Singhbhum,604663.0,262537.0,342126.0,133894,88269,15228,7869,35706,276096,226144,23582,301727
356,Palamu,407904.0,355529.0,52375.0,223273,21003,22399,2829,26310,30535,245967,25291,53436
357,Latehar,160514.0,146377.0,14137.0,84899,5740,3221,707,10540,7889,91012,3853,17336
358,Hazaribagh,381748.0,312983.0,68765.0,151797,22762,10329,2063,29108,50543,175986,12598,74823
359,Ramgarh,252625.0,134067.0,118558.0,67168,47187,5095,4269,14748,71135,114945,9348,83114
360,Dumka,326978.0,303697.0,23281.0,194063,7800,18222,1165,18830,14947,202727,19292,32044
361,Jamtara,185668.0,165555.0,20113.0,103638,6738,8113,664,7285,12088,111030,8727,18196
362,Ranchi,730982.0,420740.0,310242.0,231407,98657,12623,12720,55538,245402,330404,25585,298972
363,Khunti,135719.0,67860.0,67860.0,39156,25923,2308,2036,2715,36577,76003,4615,11401
364,Gumla,233074.0,216629.0,16445.0,137127,6315,6283,823,13865,11265,143807,6993,24007
365,Simdega,155283.0,144169.0,11114.0,85925,4446,4181,445,7065,5935,90375,4659,12734
366,Pashchimi Singhbhum,400324.0,336928.0,63396.0,171497,23774,13478,2853,12467,37341,196159,16414,47239
367,Saraikela-Kharsawan,285687.0,217248.0,68439.0,116228,25049,7821,2327,13904,44144,141416,10285,57995
368,Bargarh,458961.0,411566.0,47395.0,275338,22134,34984,2228,50623,25689,298784,37176,73893
369,Jharsuguda,177186.0,103224.0,73962.0,73806,33653,6091,4142,9704,39644,109324,10277,46246
370,Sambalpur,315495.0,220697.0,94798.0,153826,39057,17215,4930,18980,56405,194661,22085,72249
371,Debagarh,98758.0,91408.0,7350.0,68556,4580,12249,405,5394,3771,73180,12740,9086
372,Sundargarh,618062.0,387911.0,230151.0,294425,107941,22499,10127,32585,150749,407921,32758,173058
373,Kendujhar,574298.0,490634.0,83664.0,343444,40829,42195,6443,45629,42502,384780,48816,86719
374,Mayurbhanj,753589.0,689110.0,64479.0,499605,28242,59264,5223,103367,41267,530527,64809,140168
375,Baleshwar,683594.0,601154.0,82440.0,373317,34790,69734,5936,136462,56060,410157,75879,187989
376,Bhadrak,428106.0,373862.0,54244.0,240394,28587,33274,4015,59818,28099,269707,37674,86050
377,Kendrapara,438243.0,414749.0,23494.0,236407,10479,31107,2068,65531,13580,247170,32869,78008
378,Jagatsinghapur,352732.0,309685.0,43047.0,177450,24623,21988,1593,68441,19286,202116,23634,86420
379,Cuttack,790297.0,579529.0,210768.0,318741,77142,58533,13490,129815,164400,398310,72708,286878
380,Jajapur,541139.0,495611.0,45528.0,286464,19532,72360,3187,98627,27864,306826,76301,123921
381,Dhenkanal,352369.0,315390.0,36979.0,206581,15458,36270,2811,44786,22114,223402,39466,64484
382,Anugul,414587.0,340410.0,74177.0,219225,28781,40850,4896,56849,47474,250411,46020,99916
383,Nayagarh,288334.0,261646.0,26688.0,168239,12944,31921,2029,41602,14892,181939,34024,54784
384,Khordha,688729.0,331834.0,356895.0,207065,130624,28206,18202,60726,273382,342299,47523,324392
385,Puri,474224.0,402014.0,72210.0,257691,33506,45026,4189,62715,52930,292122,49320,112866
386,Ganjam,1015394.0,795476.0,219918.0,490014,87748,75571,11436,151936,143607,579790,87324,289388
387,Gajapati,175145.0,152095.0,23050.0,101904,9382,8974,1153,19317,13070,111568,10159,31702
388,Kandhamal,242935.0,218446.0,24489.0,150291,11388,14418,1568,13763,13837,162038,16034,26966
389,Baudh,137954.0,131377.0,6577.0,98665,3690,6175,356,11824,3375,102500,6484,14900
390,Subarnapur,193502.0,176927.0,16575.0,130926,10178,12739,962,13978,6465,141257,13739,19931
391,Balangir,538962.0,476770.0,62192.0,327065,29169,33374,4230,48154,36134,357332,37728,81384
392,Nuapada,209127.0,197258.0,11869.0,143802,6255,9469,772,25052,5745,150363,10248,30324
393,Kalahandi,494748.0,456336.0,38412.0,320805,18361,42896,2651,37420,22587,340387,46012,57886
394,Rayagada,286548.0,237343.0,49205.0,165429,17616,13529,2116,15665,29770,185111,15761,42410
395,Nabarangapur,372264.0,342840.0,29424.0,237589,15124,15085,1442,19885,15713,252768,16380,34621
396,Koraput,460128.0,381789.0,78339.0,250836,30474,20235,4387,31307,50843,282519,24847,80063
397,Malkangiri,183723.0,167884.0,15839.0,112986,7239,12424,1331,10074,7556,120523,13780,17087
398,Koriya,181615.0,121852.0,59763.0,61536,22412,2681,777,10358,35440,84815,3451,42498
399,Surguja,65167.0,0.0,65167.0,0,19160,0,1043,0,39948,30759,1369,16357
400,Jashpur,20722.0,0.0,20722.0,0,7833,0,249,0,8745,8621,353,2943
401,Raigarh,420916.0,354278.0,66638.0,203356,25190,17006,2000,46057,38184,229821,19363,81237
402,Korba,332653.0,206598.0,126055.0,112390,37439,6612,2017,24586,73869,152356,8649,93476
403,Janjgir - Champa,440773.0,379583.0,61190.0,223954,26802,21257,2326,41755,27169,251682,23802,66998
404,Bilaspur,737806.0,549632.0,188174.0,324833,67931,28581,5834,91239,123631,396940,34677,205111
405,Kabeerdham,211179.0,187311.0,23868.0,114073,8760,11614,1218,16858,11815,123329,12882,27876
406,Rajnandgaon,390132.0,313604.0,76528.0,149590,25102,10663,1914,58017,40713,175170,12485,97533
407,Durg,883189.0,533448.0,349741.0,279527,103524,26673,7695,74683,218938,384188,34445,291453
408,Raipur,1068500.0,673499.0,395001.0,383895,118896,39737,11456,86882,256751,509675,52357,331235
409,Mahasamund,310567.0,274793.0,35774.0,164876,14739,12641,1467,41769,17923,180440,14287,58387
410,Dhamtari,210481.0,168689.0,41792.0,92948,16383,7085,1463,40823,22401,109661,8630,62513
411,Uttar Bastar Kanker,194069.0,169191.0,24878.0,78674,9404,5076,797,25041,15151,88496,5823,38232
412,Bastar,371319.0,316425.0,54894.0,165174,19433,10759,1592,43984,33486,185289,12254,75378
413,Narayanpur,33095.0,26916.0,6179.0,15504,3417,1185,136,1104,2732,18931,1357,3542
414,Dakshin Bastar Dantewada,137849.0,106545.0,31304.0,53380,11051,3410,908,7672,15590,65203,4412,21091
415,Bijapur,58391.0,50449.0,7942.0,28504,4861,2119,247,1363,2232,33283,2395,3270
416,Sheopur,176522.0,150146.0,26376.0,90689,10709,7958,845,8709,15088,101677,8827,22772
417,Morena,414586.0,319298.0,95288.0,170825,34018,16604,2002,21393,70323,206050,18657,86649
418,Bhind,359596.0,271211.0,88385.0,139945,35973,12476,2210,25223,59484,176203,14744,82708
419,Gwalior,444892.0,172720.0,272172.0,83079,73215,7773,5444,29881,236790,156602,13347,266046
420,Datia,203854.0,160453.0,43401.0,74932,15104,4333,1303,18132,27387,90104,5708,45052
421,Shivpuri,434618.0,367859.0,66759.0,199748,21030,15451,1870,20601,43861,221221,17385,63455
422,Tikamgarh,382992.0,322772.0,60220.0,144280,19813,9361,1626,12589,27220,164304,10724,39066
423,Chhatarpur,470917.0,375869.0,95048.0,169893,27659,9773,1521,19546,55033,198257,11303,72051
424,Panna,288923.0,256744.0,32179.0,121954,11585,7703,741,12838,17313,133772,8379,29471
425,Sagar,613915.0,448408.0,165507.0,231379,53128,21076,4138,50222,107084,285471,25171,154093
426,Damoh,369901.0,303387.0,66514.0,164133,22682,15170,1929,17900,37381,187540,17016,53266
427,Satna,576004.0,461831.0,114173.0,181038,26717,10161,2626,105298,69075,209090,12673,171650
428,Rewa,618399.0,523910.0,94489.0,181797,20599,11003,2268,93256,56221,203454,13605,144706
429,Umaria,168066.0,138100.0,29966.0,65184,8481,5801,630,8010,16542,74286,6555,23026
430,Neemuch,242197.0,174235.0,67962.0,80671,18758,4879,952,23000,43224,100512,5813,63698
431,Mandsaur,384119.0,302287.0,81832.0,150237,24141,6953,1392,40205,55810,175927,8451,92189
432,Ratlam,373867.0,266716.0,107151.0,153896,29467,9336,1501,35740,88722,184317,10843,122629
433,Ujjain,489449.0,300765.0,188684.0,165120,56794,11430,3585,53837,157740,222210,15173,210464
434,Shajapur,386608.0,312611.0,73997.0,177251,23754,13755,1776,41890,49356,201810,15465,89307
435,Dewas,376009.0,274995.0,101014.0,134748,30810,17050,2627,59674,78084,165068,19553,139124
436,Dhar,515712.0,412348.0,103364.0,232977,31733,19381,3101,79171,78971,266108,22692,155230
437,Indore,788318.0,200371.0,587947.0,82954,136992,9218,15875,83154,530917,219153,25227,615677
438,Khargone (West Nimar),460163.0,383543.0,76620.0,218236,22603,24164,2452,49861,56546,242506,26690,103077
439,Barwani,299270.0,250358.0,48912.0,150716,18294,13019,2006,25787,32331,169687,14964,56563
440,Rajgarh,401717.0,331894.0,69823.0,200464,24927,21574,2235,25888,42593,227372,24104,63874
441,Vidisha,376409.0,292579.0,83830.0,132246,25652,8778,1761,33647,59939,158092,10540,92974
442,Bhopal,700719.0,118893.0,581826.0,55405,175130,5113,15128,25562,488153,232639,20321,505920
443,Sehore,329647.0,270427.0,59220.0,117907,18536,17849,1481,58683,46844,136474,19450,105158
444,Raisen,325713.0,251272.0,74441.0,116591,27097,18092,2978,46486,53598,144291,21172,98040
445,Betul,406649.0,318945.0,87704.0,145439,26575,15310,2632,41144,62797,172826,17893,100849
446,Harda,144559.0,112714.0,31845.0,47566,8439,8679,1402,43170,25254,56379,10120,67365
447,Hoshangabad,315396.0,209650.0,105746.0,92037,30350,21385,3596,70862,85232,123636,25548,152337
448,Katni,349031.0,276151.0,72880.0,128411,20844,12151,1750,23749,47956,150433,13962,67713
449,Jabalpur,624761.0,272284.0,352477.0,125796,103629,15521,10222,72973,282687,231787,26240,347992
450,Narsimhapur,283718.0,230659.0,53059.0,112793,17881,22605,3131,63432,38097,131362,26103,99869
451,Dindori,227795.0,218021.0,9774.0,111627,3685,5887,538,8067,5406,115265,6379,13440
452,Mandla,316932.0,279674.0,37258.0,120820,10656,12026,1491,18739,24255,131527,13629,42152
453,Chhindwara,553944.0,413142.0,140802.0,207811,47169,21071,5210,50817,93352,255923,26036,141256
454,Seoni,382587.0,335045.0,47542.0,151106,13170,16418,1664,50927,35134,164895,18365,83404
455,Balaghat,470867.0,400074.0,70793.0,153229,20814,21604,2407,46809,44671,174692,24015,87582
456,Guna,285085.0,212765.0,72320.0,104681,24300,6171,2387,15745,43103,129429,8553,56447
457,Ashoknagar,206741.0,169606.0,37135.0,74627,14038,4580,632,11873,20908,88692,5169,31839
458,Shahdol,291440.0,233594.0,57846.0,103249,16892,6775,1562,17754,36848,120948,8452,51002
459,Anuppur,207713.0,103857.0,103857.0,38220,25965,1974,2285,4570,59095,70207,4155,36766
460,Sidhi,276869.0,250953.0,25916.0,95865,6946,4769,389,10290,12699,103273,5261,20766
461,Singrauli,287325.0,228732.0,58593.0,101558,15879,4346,1524,5033,30527,118378,5747,32468
462,Jhabua,235793.0,211080.0,24713.0,132137,6302,10766,445,12243,18980,140297,11319,27588
463,Alirajpur,150528.0,135866.0,14662.0,84373,4370,5435,382,6794,11041,89565,5871,15806
464,Khandwa (East Nimar),329088.0,265663.0,63425.0,139208,19726,21254,2791,46226,43954,159608,24353,88525
465,Burhanpur,178840.0,115979.0,62861.0,56134,26214,7423,2452,21457,43123,82625,10016,62773
466,Kachchh,739275.0,488293.0,250982.0,124027,53711,5372,2510,240241,220614,176687,8133,465744
467,Banas Kantha,804197.0,666773.0,137424.0,258708,32707,26671,2062,114019,107191,294337,28952,209092
468,Patan,404138.0,301483.0,102655.0,112454,26178,11457,1540,108233,84588,140236,13337,186308
469,Mahesana,659743.0,476005.0,183738.0,156130,40055,12377,2389,211347,156178,197923,14515,360880
470,Sabar Kantha,665533.0,544024.0,121509.0,223594,32929,11425,1945,169192,93198,258893,13311,254234
471,Gandhinagar,433258.0,237624.0,195634.0,86971,47735,5466,2544,101704,158073,135177,7799,258222
472,Ahmadabad,2198552.0,353169.0,1845383.0,143034,441047,7064,11073,116193,1699598,580418,17589,1824799
473,Surendranagar,500598.0,340788.0,159810.0,124047,38035,7839,2238,70884,111867,163696,10012,176712
474,Rajkot,1181006.0,459474.0,721532.0,130491,158016,6893,7937,202169,624126,289347,14173,819619
475,Jamnagar,646325.0,347158.0,299167.0,104495,68809,5555,2992,120811,250702,173216,8403,369698
476,Porbandar,183572.0,96015.0,87557.0,29189,21540,2209,1139,37542,67770,50666,3305,106289
477,Junagadh,776743.0,489237.0,287506.0,159981,68714,8318,4026,225050,246393,230693,12428,462939
478,Amreli,430613.0,313714.0,116899.0,90664,28875,5334,1169,163445,91649,119711,6460,253201
479,Bhavnagar,744077.0,387251.0,356826.0,128568,91705,5809,3926,124308,291171,222480,9674,401058
480,Anand,621987.0,413078.0,208909.0,170602,54526,8675,2716,170602,173395,228270,11818,335873
481,Kheda,622026.0,461479.0,160547.0,194745,40137,11537,2409,117216,126030,238236,14307,232016
482,Panch Mahals,567601.0,463363.0,104238.0,233535,25435,12048,1147,78772,87665,263935,13623,154388
483,Dohad,376504.0,323697.0,52807.0,192600,12463,6798,581,19746,37916,209713,7531,49323
484,Vadodara,1240425.0,547454.0,692971.0,251829,137902,10950,5544,156025,636841,400658,17366,765343
485,Narmada,160369.0,138121.0,22248.0,60636,7498,1796,423,22100,16620,68638,2246,35763
486,Bharuch,481996.0,300677.0,181319.0,114859,36627,4511,1088,137711,162100,153757,5784,294982
487,The Dangs,59618.0,52102.0,7516.0,18914,2015,574,53,13182,4345,21105,597,16932
488,Navsari,409156.0,267739.0,141417.0,92370,28284,3749,1273,119144,121195,122747,4910,234038
489,Valsad,498391.0,262410.0,235981.0,104177,58052,3412,2124,72426,179346,167460,5483,235241
490,Surat,1899838.0,369840.0,1529998.0,114281,302940,4439,7650,184551,1435139,419865,11400,1612963
491,Tapi,218489.0,192272.0,26217.0,69795,7813,1923,210,44223,20319,78001,2185,61396
492,Diu,18850.0,9788.0,9062.0,1244,970,30,19,4239,6770,2206,38,11084
493,Daman,71079.0,10006.0,61073.0,2642,22659,91,367,5734,53012,25234,427,58570
494,Nandurbar,405012.0,333440.0,71572.0,163053,20900,13005,2362,74358,45449,185901,15391,116239
495,Dhule,528790.0,382777.0,146013.0,143159,33145,13015,2337,71580,95347,177145,15864,164983
496,Jalgaon,1169788.0,796223.0,373565.0,309731,101237,43793,6351,179947,242444,412936,50301,415275
497,Buldana,728192.0,575405.0,152787.0,269865,52559,38553,5348,167443,93048,323318,44420,257052
498,Akola,504235.0,308158.0,196077.0,146376,66275,21880,7255,95221,141764,214300,29750,232453
499,Washim,330846.0,274925.0,55921.0,127291,19964,18420,1454,75605,37635,147558,19851,111826
500,Amravati,781815.0,508921.0,272894.0,226979,85416,33589,7914,209167,214495,314290,42219,419835
501,Wardha,388704.0,268486.0,120218.0,117329,28853,25507,4449,126726,94251,146542,29931,220396
502,Nagpur,1308366.0,430844.0,877522.0,168030,207973,35761,24571,198620,789770,375502,60185,990434
503,Bhandara,356418.0,283843.0,72575.0,123756,18144,22992,2468,158385,61181,142924,25663,218128
504,Gondiya,386515.0,319702.0,66813.0,128840,18040,16625,2205,151859,51647,147263,18940,202534
505,Gadchiroli,330840.0,293586.0,37254.0,125068,10059,25542,1491,65177,24551,135314,26799,89327
506,Chandrapur,684655.0,451324.0,233331.0,186397,58800,50549,7934,131336,167299,245792,58881,296456
507,Yavatmal,798132.0,629243.0,168889.0,295115,49485,50969,6587,137175,115183,346390,58264,247421
508,Nanded,821682.0,591119.0,230563.0,302653,80698,46108,9223,113495,168773,386191,55875,271977
509,Hingoli,284369.0,242456.0,41913.0,113227,16221,14548,1300,65221,27537,129673,15925,92136
510,Parbhani,427239.0,293480.0,133759.0,138817,47886,24359,5886,39033,89485,187986,30762,123045
511,Jalna,502830.0,404746.0,98084.0,165946,35801,27928,3041,118186,68855,202138,31176,183533
512,Aurangabad,979132.0,551789.0,427343.0,219061,96580,44144,5983,109255,373498,316260,50915,478796
513,Nashik,1668932.0,904661.0,764271.0,312109,185718,50662,19107,265066,528112,500680,70096,781061
514,Thane,3618151.0,713994.0,2904157.0,262750,630203,41412,31946,283456,2163597,904538,75982,2424162
515,Mumbai Suburban,3078829.0,0.0,3078829.0,,834363,,43104,,1684120,834363,43104,1684120
516,Mumbai,1107321.0,0.0,1107321.0,,290119,,16610,,741906,290119,16610,741906
517,Raigarh,959028.0,581868.0,377160.0,164669,66758,20948,4149,296171,305500,234003,24935,594598
518,Pune,3222457.0,1165718.0,2056739.0,278607,429859,57121,26738,720414,1655675,708941,83784,2378174
519,Ahmadnagar,1323404.0,1041393.0,282011.0,318667,65145,77064,7051,407185,207561,385111,84698,610090
520,Bid,698571.0,563114.0,135457.0,230877,41721,45050,3929,86720,93601,273840,49599,175342
521,Latur,585632.0,428616.0,157016.0,171876,48047,24432,4083,106297,122316,221369,28696,220198
522,Osmanabad,444990.0,367158.0,77832.0,140255,24595,22764,2180,81510,44987,165537,24920,123263
523,Solapur,1156231.0,779929.0,376302.0,230859,115902,60835,7150,250358,229168,346870,68218,477524
524,Satara,975471.0,774522.0,200949.0,215318,41597,41050,5426,542940,151516,257525,46823,693560
525,Ratnagiri,639362.0,538538.0,100824.0,154561,16737,22081,1916,361898,82676,171989,24296,443718
526,Sindhudurg,340836.0,295847.0,44989.0,81654,10708,13609,1350,220111,39051,92708,14997,258695
527,Kolhapur,1179314.0,796496.0,382818.0,193549,84986,15930,4594,592594,285966,278319,20049,878589
528,Sangli,853673.0,626872.0,226801.0,171763,57381,31971,5444,379258,175998,229639,37562,554034
529,Adilabad,817714.0,597466.0,220248.0,213296,51759,38836,6167,82451,155716,264940,44975,239591
530,Nizamabad,720298.0,565165.0,155133.0,179723,39404,24303,3413,166159,132639,218971,27372,299644
531,Karimnagar,1165280.0,877236.0,288044.0,284225,60490,44740,5185,300015,243110,346089,50108,538360
532,Medak,789132.0,593653.0,195479.0,205404,37923,26121,2346,188782,165376,244631,29198,348008
533,Hyderabad,1066289.0,0.0,1066289.0,,203662,,9597,,1050295,203662,9597,1050295
534,Rangareddy,1561322.0,432098.0,1129224.0,110185,182935,9507,7905,187963,1084056,293529,17175,1270917
535,Mahbubnagar,1010015.0,848963.0,161052.0,261481,30600,52636,2738,151965,125782,294925,56561,266644
536,Nalgonda,1030937.0,833504.0,197433.0,285059,47977,49177,3357,265888,160316,335055,53609,418561
537,Warangal,1046987.0,758738.0,288249.0,294391,68316,64493,8360,225346,237518,364352,73290,457534
