,country,indicator,date,value
113,Austria,Daily hospital occupancy,23-07-2020,87.0
114,Austria,Daily hospital occupancy,24-07-2020,86.0
115,Austria,Daily hospital occupancy,25-07-2020,85.0
116,Austria,Daily hospital occupancy,26-07-2020,82.0
117,Austria,Daily hospital occupancy,27-07-2020,79.0
118,Austria,Daily hospital occupancy,28-07-2020,74.0
119,Austria,Daily hospital occupancy,29-07-2020,74.0
120,Austria,Daily hospital occupancy,30-07-2020,87.0
121,Austria,Daily hospital occupancy,31-07-2020,84.0
122,Austria,Daily hospital occupancy,01-08-2020,70.0
123,Austria,Daily hospital occupancy,02-08-2020,73.0
124,Austria,Daily hospital occupancy,03-08-2020,92.0
125,Austria,Daily hospital occupancy,04-08-2020,84.0
126,Austria,Daily hospital occupancy,05-08-2020,90.0
127,Austria,Daily hospital occupancy,06-08-2020,92.0
128,Austria,Daily hospital occupancy,07-08-2020,93.0
129,Austria,Daily hospital occupancy,08-08-2020,96.0
130,Austria,Daily hospital occupancy,09-08-2020,99.0
131,Austria,Daily hospital occupancy,10-08-2020,92.0
132,Austria,Daily hospital occupancy,11-08-2020,94.0
133,Austria,Daily hospital occupancy,12-08-2020,93.0
134,Austria,Daily hospital occupancy,13-08-2020,92.0
135,Austria,Daily hospital occupancy,14-08-2020,91.0
136,Austria,Daily hospital occupancy,15-08-2020,83.0
137,Austria,Daily hospital occupancy,16-08-2020,65.0
138,Austria,Daily hospital occupancy,17-08-2020,91.0
139,Austria,Daily hospital occupancy,18-08-2020,97.0
140,Austria,Daily hospital occupancy,19-08-2020,101.0
141,Austria,Daily hospital occupancy,20-08-2020,95.0
142,Austria,Daily hospital occupancy,21-08-2020,90.0
143,Austria,Daily hospital occupancy,22-08-2020,94.0
144,Austria,Daily hospital occupancy,23-08-2020,93.0
145,Austria,Daily hospital occupancy,24-08-2020,112.0
146,Austria,Daily hospital occupancy,25-08-2020,114.0
147,Austria,Daily hospital occupancy,26-08-2020,118.0
148,Austria,Daily hospital occupancy,27-08-2020,121.0
149,Austria,Daily hospital occupancy,28-08-2020,119.0
150,Austria,Daily hospital occupancy,29-08-2020,114.0
151,Austria,Daily hospital occupancy,30-08-2020,110.0
152,Austria,Daily hospital occupancy,31-08-2020,123.0
153,Austria,Daily hospital occupancy,01-09-2020,119.0
154,Austria,Daily hospital occupancy,02-09-2020,127.0
155,Austria,Daily hospital occupancy,03-09-2020,132.0
156,Austria,Daily hospital occupancy,04-09-2020,128.0
157,Austria,Daily hospital occupancy,05-09-2020,129.0
158,Austria,Daily hospital occupancy,06-09-2020,115.0
159,Austria,Daily hospital occupancy,07-09-2020,134.0
160,Austria,Daily hospital occupancy,08-09-2020,142.0
161,Austria,Daily hospital occupancy,09-09-2020,161.0
