District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise,State_UT
Jhajjar,211816,95530,10379,123913,78328,32037,3525,71827,Haryana
Mahendragarh,223726,94189,6936,87254,44216,16449,1239,34135,Haryana
Rewari,199449,83171,6582,99326,69305,21485,1664,60850,Haryana
Gurgaon,141703,55690,4535,92958,381988,104665,14898,350283,Haryana
Mewat,187398,109441,16866,33357,36237,14930,1740,22649,Haryana
Faridabad,87700,37887,3772,51393,382981,149746,9192,341620,Haryana
Palwal,186069,95082,11723,59729,63090,22839,2272,52239,Haryana
North West,67592,31498,3042,43327,959275,329991,31657,824018,Nct Of Delhi
North,4512,1142,41,4422,296559,110024,10380,266607,Nct Of Delhi
North East,5326,1939,150,5060,482255,171683,9646,458625,Nct Of Delhi
East,1086,73,14,1066,461132,111594,8762,430698,Nct Of Delhi
New Delhi,0,0,0,0,52664,15168,1949,41026,Nct Of Delhi
Central,0,0,0,0,194897,76595,6237,176967,Nct Of Delhi
West,1809,874,33,1576,699703,201515,19592,629033,Nct Of Delhi
South West,41179,14619,1359,36114,606503,168002,15770,553131,Nct Of Delhi
South,2918,1206,135,2644,728145,220628,21117,640768,Nct Of Delhi
Ganganagar,397697,167431,9943,323328,164897,53097,5442,154344,Rajasthan
Hanumangarh,389059,143174,9338,320196,108694,35000,3370,102064,Rajasthan
Bikaner,335754,169892,16452,99048,196179,53557,3336,181662,Rajasthan
Churu,344897,135200,20005,162102,148996,45295,3278,130372,Rajasthan
Jhunjhunun,500452,122111,12011,228707,150357,38191,2707,124045,Rajasthan
Alwar,782294,309007,28163,115780,212967,61335,3408,168883,Rajasthan
Bharatpur,0,0,0,0,129697,54473,3113,90140,Rajasthan
Dhaulpur,214670,125368,14169,10305,58626,23334,2052,36818,Rajasthan
Karauli,305047,190350,17083,25014,59308,24613,1839,37009,Rajasthan
Sawai Madhopur,282057,155696,12411,24822,71264,24800,1853,51453,Rajasthan
Dausa,361084,170071,19138,33581,59610,15976,835,45900,Rajasthan
Jaipur,754841,321563,31704,166066,977838,264995,11735,886900,Rajasthan
Sikar,527560,165654,14772,212080,178274,47956,2853,150999,Rajasthan
Nagaur,675712,313531,42570,179064,166489,53277,3996,134191,Rajasthan
Jodhpur,584215,289187,30380,80038,307442,79321,5227,277006,Rajasthan
Jaisalmer,159117,89265,5092,26573,30830,12456,525,20502,Rajasthan
Barmer,542825,322439,28770,52655,55980,16235,1400,46352,Rajasthan
Jalor,419216,218412,35215,47372,48202,17594,1929,29838,Rajasthan
Sirohi,238535,121176,16459,38643,69639,18664,1324,47494,Rajasthan
Pali,512909,256968,27698,95914,139808,46417,3496,96608,Rajasthan
Ajmer,409335,204259,13918,57717,274919,76703,3025,236981,Rajasthan
Tonk,298911,161711,5680,20625,81755,29678,2044,53714,Rajasthan
Bundi,239836,135028,8155,19907,63452,21320,1270,40737,Rajasthan
Bhilwara,530015,294159,19081,55652,145865,43906,1897,108962,Rajasthan
Rajsamand,304622,166324,12795,34423,61054,18866,611,43593,Rajasthan
Dungarpur,322816,200469,20015,29377,31547,8077,663,23377,Rajasthan
Banswara,390437,267840,35530,26941,39407,9261,907,32511,Rajasthan
Chittaurgarh,366780,201363,13205,35211,88873,23818,1600,64433,Rajasthan
Kota,203454,94200,5697,25025,311735,91339,5923,239413,Rajasthan
Baran,249184,126337,7725,18689,69804,24362,1397,39998,Rajasthan
Jhalawar,298624,178279,12841,21501,63763,19129,1340,42658,Rajasthan
Udaipur,665449,399935,25288,61887,182769,40210,2194,157547,Rajasthan
Pratapgarh,209813,132602,5246,13009,24269,5825,340,17013,Rajasthan
Saharanpur,605082,281364,34490,259581,284156,105991,8809,261424,Uttar Pradesh
Muzaffarnagar,673746,338221,30993,369887,296104,118442,9476,274193,Uttar Pradesh
Bijnor,683875,359719,37614,344673,224648,95925,7189,207575,Uttar Pradesh
Moradabad,692398,439673,41544,330967,355518,164250,11377,332765,Uttar Pradesh
Rampur,396775,257507,24601,223782,143217,69461,5586,135054,Uttar Pradesh
Jyotiba Phule Nagar,335888,203213,19818,135363,115486,58552,4620,106248,Uttar Pradesh
Meerut,381520,190379,15643,202588,422303,151607,8869,392320,Uttar Pradesh
Baghpat,246055,128687,7874,144681,69991,32546,2170,60543,Uttar Pradesh
Ghaziabad,355407,180192,12795,212534,836316,285184,15054,792828,Uttar Pradesh
Gautam Buddha Nagar,170835,72264,4101,88322,338935,95241,4407,310126,Uttar Pradesh
Bulandshahr,658449,370707,28314,203461,221628,95965,6206,188384,Uttar Pradesh
Aligarh,582117,330061,25032,124574,275942,117000,7451,232896,Uttar Pradesh
Mahamaya Nagar,288150,158771,12103,47545,84883,39386,2717,61710,Uttar Pradesh
Mathura,407488,217192,16300,79868,177802,72010,4090,144376,Uttar Pradesh
Agra,496971,262898,21370,82498,406852,155418,7731,333619,Uttar Pradesh
Firozabad,349747,201455,23434,39872,185621,96709,7425,152395,Uttar Pradesh
Mainpuri,338475,180746,25386,45695,72783,30278,3203,54879,Uttar Pradesh
Budaun,710956,464966,57588,149301,156668,81155,9871,121418,Uttar Pradesh
Bareilly,631613,397917,48635,282963,362798,169064,14512,334863,Uttar Pradesh
Pilibhit,371752,233089,34202,131972,89638,40875,7530,79599,Uttar Pradesh
Shahjahanpur,520289,319978,62435,140479,134714,66953,11047,115720,Uttar Pradesh
Kheri,754938,483161,83799,138154,107672,49314,9583,82047,Uttar Pradesh
Sitapur,827583,512274,100138,98483,111319,47200,9463,80150,Uttar Pradesh
Hardoi,786613,490060,65289,136871,121064,56174,7991,89588,Uttar Pradesh
Unnao,596317,351828,43532,94219,121039,53500,6173,86785,Uttar Pradesh
Lucknow,344155,196857,28565,73994,717566,223164,29421,629306,Uttar Pradesh
Rae Bareli,705025,390584,54992,94474,73393,25028,3817,52183,Uttar Pradesh
Farrukhabad,316647,188722,27232,75679,94843,43344,4458,77487,Uttar Pradesh
Kannauj,299785,174775,26382,65054,65985,28572,3894,49885,Uttar Pradesh
Etawah,265643,145307,20721,52598,85483,34621,3591,71293,Uttar Pradesh
Auraiya,255836,141222,23026,52191,58438,22558,2338,43946,Uttar Pradesh
Kanpur Dehat,363933,206714,30571,83705,41323,16323,2439,27398,Uttar Pradesh
Kanpur Nagar,364869,214543,25176,86110,684906,265059,32876,583540,Uttar Pradesh
Jalaun,304856,174683,8841,86275,91565,37634,3205,69224,Uttar Pradesh
Jhansi,309592,146747,6192,64086,195321,64261,3712,139850,Uttar Pradesh
Lalitpur,258013,136231,6967,30962,43819,15863,1140,27563,Uttar Pradesh
Hamirpur,256081,129321,3842,64021,55300,20517,885,37992,Uttar Pradesh
Mahoba,198298,100538,3372,35298,48525,23632,777,26544,Uttar Pradesh
Banda,378056,199992,4159,75612,67569,23785,1149,49664,Uttar Pradesh
Chitrakoot,207237,108800,3731,24454,23558,11002,637,13829,Uttar Pradesh
Fatehpur,558807,320756,31852,102262,77733,31793,3343,56046,Uttar Pradesh
Pratapgarh,711085,317855,44799,80353,41701,13220,1252,26731,Uttar Pradesh
Kaushambi,349856,193121,15394,48281,30764,13198,1354,15813,Uttar Pradesh
Allahabad,983266,479834,45231,153390,265304,80918,7694,222856,Uttar Pradesh
Bara Banki,635840,323643,75665,83931,79068,31232,6958,53609,Uttar Pradesh
Faizabad,510378,262335,47466,74005,79288,28623,3886,60418,Uttar Pradesh
